,goals,squad,shots_on_target,position,shots_on_target_per90,games_subs,goals_assists_pens_per90,minutes,goals_pens_per90,age,cards_per90,fouls_per90,cards_yellow,goals_per90,minutes_per_game,fouls,games_starts,assists,nationality,pens_att,goals_assists_per90,cards_red,pens_made,games,player
0,0,West Ham United,0,GK,0.00,0,0.00,"3,420",0.00,37,0.05,0.00,2,0.00,90,0,38,0,fi FIN,0,0.00,0,0,38,Jussi Jääskeläinen
1,0,Stoke City,0,GK,0.00,0,0.00,"3,420",0.00,25,0.08,0.00,3,0.00,90,0,38,0,ba BIH,0,0.00,0,0,38,Asmir Begović
2,5,Everton,16,DF,0.42,0,0.21,"3,420",0.08,27,0.11,0.74,4,0.13,90,28,38,5,eng ENG,2,0.26,0,2,38,Leighton Baines
3,0,Manchester City,0,GK,0.00,0,0.00,"3,420",0.00,25,0.03,0.00,1,0.00,90,0,38,0,eng ENG,0,0.00,0,0,38,Joe Hart
4,0,Sunderland,0,GK,0.00,0,0.00,"3,420",0.00,24,0.03,0.00,1,0.00,90,0,38,0,be BEL,0,0.00,0,0,38,Simon Mignolet
5,3,Wigan Athletic,15,MF,0.40,0,0.13,"3,374",0.08,21,0.19,1.23,7,0.08,89,46,38,2,ie IRL,0,0.13,0,0,38,James McCarthy
6,1,Stoke City,4,DF,0.11,0,0.05,"3,330",0.03,24,0.24,0.97,9,0.03,90,36,37,1,eng ENG,0,0.05,0,0,37,Ryan Shawcross
7,0,Swansea City,4,DF,0.11,0,0.00,"3,330",0.00,27,0.19,0.97,7,0.00,90,36,37,0,wal WAL,0,0.00,0,0,37,Ashley Williams
8,8,Stoke City,25,"FW,MF",0.68,0,0.16,"3,303",0.14,28,0.11,1.09,4,0.22,87,40,38,1,ie IRL,5,0.25,0,3,38,Jonathan Walters
9,12,Arsenal,58,MF,1.58,1,0.63,"3,297",0.33,27,0.03,0.38,1,0.33,87,14,37,11,es ESP,0,0.63,0,0,38,Santi Cazorla
10,0,Reading,13,MF,0.36,0,0.17,"3,266",0.00,30,0.14,1.02,5,0.00,86,37,38,6,jm JAM,0,0.17,0,0,38,Jobi McAnuff
11,2,Aston Villa,4,DF,0.11,0,0.17,"3,266",0.06,23,0.28,0.85,10,0.06,88,31,37,4,eng ENG,0,0.17,0,0,37,Matthew Lowton
12,0,West Bromwich Albion,2,DF,0.06,0,0.00,"3,240",0.00,22,0.14,0.83,5,0.00,90,30,36,0,se SWE,0,0.00,0,0,36,Jonas Olsson
13,3,West Bromwich Albion,11,DF,0.31,0,0.14,"3,240",0.08,32,0.08,0.56,3,0.08,90,20,36,2,nir NIR,0,0.14,0,0,36,Gareth McAuley
14,0,Everton,0,GK,0.00,0,0.00,"3,240",0.00,33,0.00,0.00,0,0.00,90,0,36,0,us USA,0,0.00,0,0,36,Tim Howard
15,0,Aston Villa,0,GK,0.00,0,0.00,"3,240",0.00,27,0.06,0.00,2,0.00,90,0,36,0,us USA,0,0.00,0,0,36,Brad Guzan
16,0,Fulham,0,GK,0.00,0,0.00,"3,240",0.00,39,0.00,0.00,0,0.00,90,0,36,0,au AUS,0,0.00,0,0,36,Mark Schwarzer
17,1,Liverpool,14,DF,0.39,0,0.14,"3,226",0.03,27,0.20,0.89,7,0.03,90,32,36,4,eng ENG,0,0.14,0,0,36,Glen Johnson
18,1,Norwich City,11,"DF,MF",0.31,0,0.11,"3,222",0.03,25,0.28,1.79,10,0.03,87,64,37,3,eng ENG,0,0.11,0,0,37,Bradley Johnson
19,9,Liverpool,40,MF,1.12,0,0.39,"3,221",0.14,32,0.14,0.98,5,0.25,90,35,36,9,eng ENG,5,0.50,0,4,36,Steven Gerrard
20,5,Southampton,11,MF,0.31,0,0.14,"3,208",0.14,22,0.25,1.74,9,0.14,89,62,36,0,fr FRA,0,0.14,0,0,36,Morgan Schneiderlin
21,0,Chelsea,0,GK,0.00,0,0.00,"3,195",0.00,30,0.03,0.00,1,0.00,89,0,36,0,cz CZE,0,0.00,0,0,36,Petr Čech
