,goals,squad,shots_on_target,position,shots_on_target_per90,games_subs,goals_assists_pens_per90,minutes,goals_pens_per90,age,cards_per90,fouls_per90,cards_yellow,goals_per90,minutes_per_game,fouls,games_starts,assists,nationality,pens_att,goals_assists_per90,cards_red,pens_made,games,player
0,0,Bolton Wanderers,0,GK,0.00,0,0.00,"3,420",0.00,34,0.08,0.00,3,0.00,90,0,38,0,fi FIN,0,0.00,0,0,38,Jussi Jääskeläinen
1,0,Burnley,5,DF,0.13,0,0.08,"3,420",0.00,26,0.18,1.21,7,0.00,90,46,38,3,jm JAM,0,0.08,0,0,38,Tyrone Mears
2,0,Aston Villa,0,GK,0.00,0,0.00,"3,420",0.00,38,0.00,0.00,0,0.00,90,0,38,0,us USA,0,0.00,0,0,38,Brad Friedel
3,0,Everton,0,GK,0.00,0,0.00,"3,420",0.00,30,0.05,0.00,2,0.00,90,0,38,0,us USA,0,0.00,0,0,38,Tim Howard
4,0,Liverpool,0,GK,0.00,0,0.00,"3,420",0.00,26,0.05,0.00,2,0.00,90,0,38,0,es ESP,0,0.00,0,0,38,Pepe Reina
5,0,Birmingham City,3,DF,0.08,0,0.03,"3,420",0.00,26,0.21,0.71,8,0.00,90,27,38,1,eng ENG,0,0.03,0,0,38,Roger Johnson
6,0,West Ham United,0,GK,0.00,0,0.00,"3,402",0.00,29,0.00,0.00,0,0.00,90,0,38,0,eng ENG,0,0.00,0,0,38,Robert Green
7,24,Sunderland,53,FW,1.41,0,0.53,"3,383",0.51,25,0.13,0.93,5,0.64,89,35,38,1,eng ENG,8,0.67,0,5,38,Darren Bent
8,0,Burnley,0,GK,0.00,0,0.00,"3,344",0.00,34,0.08,0.00,3,0.00,88,0,38,0,dk DEN,0,0.00,0,0,38,Brian Jensen
9,1,Everton,11,DF,0.30,0,0.22,"3,330",0.00,24,0.05,0.49,2,0.03,90,18,37,8,eng ENG,1,0.24,0,1,37,Leighton Baines
10,0,Fulham,0,GK,0.00,0,0.00,"3,330",0.00,36,0.00,0.00,0,0.00,90,0,37,0,au AUS,0,0.00,0,0,37,Mark Schwarzer
11,0,Birmingham City,2,DF,0.05,0,0.00,"3,329",0.00,29,0.24,1.08,8,0.00,90,40,37,0,ie IRL,0,0.00,1,0,37,Barry Ferguson
12,7,Bolton Wanderers,24,FW,0.65,0,0.33,"3,315",0.16,32,0.24,3.29,9,0.19,90,121,37,6,eng ENG,1,0.35,0,1,37,Kevin Davies
13,10,Wigan Athletic,55,FW,1.50,0,0.35,"3,310",0.24,24,0.16,1.39,6,0.27,87,51,38,4,co COL,2,0.38,0,1,38,Hugo Rodallega
14,5,Aston Villa,16,"FW,MF,DF",0.44,0,0.33,"3,300",0.11,24,0.16,1.36,6,0.14,89,50,37,8,eng ENG,2,0.35,0,1,37,Ashley Young
15,0,Manchester United,8,DF,0.22,1,0.05,"3,283",0.00,28,0.14,1.12,5,0.00,86,41,37,2,fr FRA,0,0.05,0,0,38,Patrice Evra
16,0,Aston Villa,8,MF,0.22,0,0.03,"3,267",0.00,30,0.28,1.18,10,0.00,88,43,37,1,bg BUL,0,0.03,0,0,37,Stiliyan Petrov
17,2,Chelsea,5,DF,0.14,0,0.11,"3,259",0.06,28,0.22,0.91,7,0.06,88,33,37,2,eng ENG,0,0.11,1,0,37,John Terry
18,0,Liverpool,1,"DF,MF",0.03,0,0.00,"3,251",0.00,31,0.22,0.78,7,0.00,88,28,37,0,eng ENG,0,0.00,1,0,37,Jamie Carragher
19,2,Aston Villa,6,DF,0.17,0,0.08,"3,240",0.06,27,0.22,0.92,7,0.06,90,33,36,1,es ESP,0,0.08,1,0,36,Carlos Cuéllar
20,0,Birmingham City,0,GK,0.00,0,0.00,"3,240",0.00,22,0.08,0.00,3,0.00,90,0,36,0,eng ENG,0,0.00,0,0,36,Joe Hart
21,22,Chelsea,53,MF,1.48,0,0.73,"3,218",0.34,31,0.00,0.76,0,0.62,89,27,36,14,eng ENG,11,1.01,0,10,36,Frank Lampard
22,7,Aston Villa,21,MF,0.60,0,0.45,"3,172",0.11,23,0.14,1.59,5,0.20,88,56,36,12,eng ENG,4,0.54,0,3,36,James Milner
23,1,Bolton Wanderers,3,DF,0.09,0,0.03,"3,150",0.03,29,0.03,0.60,1,0.03,90,21,35,0,eng ENG,0,0.03,0,0,35,Zat Knight
24,0,Manchester City,0,GK,0.00,0,0.00,"3,132",0.00,33,0.06,0.00,2,0.00,90,0,35,0,ie IRL,0,0.00,0,0,35,Shay Given
25,4,Burnley,10,MF,0.29,4,0.23,"3,121",0.12,30,0.14,1.93,5,0.12,82,67,34,4,eng ENG,0,0.23,0,0,38,Wade Elliott
26,2,Wigan Athletic,5,DF,0.14,0,0.06,"3,110",0.06,28,0.29,0.75,10,0.06,89,26,35,0,eng ENG,0,0.06,0,0,35,Titus Bramble
27,0,Birmingham City,1,DF,0.03,0,0.03,"3,109",0.00,32,0.29,1.19,10,0.00,89,41,35,1,ie IRL,0,0.03,0,0,35,Stephen Carr
28,1,Wigan Athletic,4,DF,0.12,0,0.06,"3,087",0.03,26,0.17,1.02,6,0.03,88,35,35,1,hn HON,0,0.06,0,0,35,Maynor Figueroa
