,goals,squad,shots_on_target,position,shots_on_target_per90,games_subs,goals_assists_pens_per90,minutes,goals_pens_per90,age,cards_per90,fouls_per90,cards_yellow,goals_per90,minutes_per_game,fouls,games_starts,assists,nationality,pens_att,goals_assists_per90,cards_red,pens_made,games,player
0,2,Bournemouth,9,"DF,MF",0.24,0,0.05,"3,420",0.05,25,0.13,0.42,5,0.05,90,16,38,0,eng ENG,0,0.05,0,0,38,Steve Cook
1,1,Chelsea,6,DF,0.16,0,0.13,"3,420",0.03,26,0.11,0.74,4,0.03,90,28,38,4,es ESP,0,0.13,0,0,38,César Azpilicueta
2,1,Middlesbrough,6,DF,0.16,0,0.05,"3,420",0.03,23,0.11,0.50,4,0.03,90,19,38,1,eng ENG,0,0.05,0,0,38,Ben Gibson
3,0,Southampton,0,GK,0.00,0,0.00,"3,420",0.00,28,0.08,0.00,3,0.00,90,0,38,0,eng ENG,0,0.00,0,0,38,Fraser Forster
4,0,West Bromwich Albion,0,GK,0.00,0,0.00,"3,420",0.00,33,0.05,0.00,2,0.00,90,0,38,0,eng ENG,0,0.00,0,0,38,Ben Foster
5,0,Crystal Palace,3,"MF,DF",0.08,0,0.03,"3,417",0.00,26,0.18,0.95,7,0.00,90,36,38,1,eng ENG,0,0.03,0,0,38,Joel Ward
6,0,Watford,0,GK,0.00,0,0.00,"3,337",0.00,35,0.03,0.00,1,0.00,88,0,38,0,br BRA,0,0.00,0,0,38,Heurelho Gomes
7,0,Swansea City,0,GK,0.00,0,0.00,"3,330",0.00,31,0.03,0.00,1,0.00,90,0,37,0,pl POL,0,0.00,0,0,37,Łukasz Fabiański
8,9,Swansea City,50,MF,1.35,1,0.51,"3,327",0.16,26,0.05,0.51,2,0.24,88,19,37,13,is ISL,3,0.60,0,3,38,Gylfi Sigurðsson
9,0,Liverpool,4,DF,0.11,0,0.05,"3,323",0.00,25,0.00,0.41,0,0.00,90,15,37,2,eng ENG,0,0.05,0,0,37,Nathaniel Clyne
10,15,Sunderland,31,FW,0.84,0,0.33,"3,321",0.27,33,0.03,0.68,1,0.41,90,25,37,2,eng ENG,5,0.46,0,5,37,Jermain Defoe
11,6,Chelsea,11,DF,0.30,1,0.16,"3,296",0.16,30,0.14,0.93,5,0.16,89,34,36,0,eng ENG,0,0.16,0,0,37,Gary Cahill
12,4,West Bromwich Albion,8,DF,0.22,0,0.11,"3,276",0.11,26,0.27,1.51,10,0.11,89,55,37,0,eng ENG,0,0.11,0,0,37,Craig Dawson
13,25,Everton,55,FW,1.52,1,0.83,"3,266",0.66,23,0.08,0.88,3,0.69,88,32,36,6,be BEL,1,0.85,0,1,37,Romelu Lukaku
14,0,Chelsea,0,GK,0.00,0,0.00,"3,240",0.00,24,0.03,0.00,1,0.00,90,0,36,0,be BEL,0,0.00,0,0,36,Thibaut Courtois
15,0,Burnley,2,DF,0.06,0,0.06,"3,240",0.00,27,0.25,0.94,9,0.00,90,34,36,2,eng ENG,0,0.06,0,0,36,Matthew Lowton
16,2,West Bromwich Albion,7,MF,0.19,1,0.14,"3,231",0.06,32,0.00,0.61,0,0.06,85,22,37,3,sco SCO,0,0.14,0,0,38,Darren Fletcher
17,1,Burnley,1,"DF,FW,MF",0.03,0,0.06,"3,230",0.03,30,0.14,0.95,5,0.03,87,34,37,1,ie IRL,0,0.06,0,0,37,Stephen Ward
18,24,Arsenal,49,"FW,MF",1.37,2,0.90,"3,217",0.62,27,0.17,1.34,6,0.67,85,48,36,10,cl CHI,3,0.95,0,2,38,Alexis Sánchez
19,7,Watford,19,MF,0.53,0,0.22,"3,203",0.20,28,0.14,1.46,5,0.20,87,52,37,1,fr FRA,0,0.22,0,0,37,Étienne Capoue
