,clean_sheets_perc,nationality,squad,draws,goals_against,player,save_perc,minutes_per_game,position,minutes,games_subs,games,age,wins,losses,goals_against_per90,games_starts,shots_on_target_against,clean_sheets
0,26.3,eng ENG,Burnley,12,53,Tom Heaton,.704,90,GK,"3,420",0,38,28,7,19,1.39,38,179,10
1,21.1,es ESP,West Ham United,10,47,Adrián,.725,89,GK,"3,392",0,38,27,12,15,1.25,38,171,8
2,29.7,es ESP,Manchester United,9,36,David de Gea,.719,90,GK,"3,313",0,37,23,20,8,0.98,37,128,11
3,35.1,pl POL,Swansea City,8,46,Łukasz Fabiański,.746,89,GK,"3,308",0,37,29,16,13,1.25,37,181,13
4,38.9,eng ENG,Manchester City,7,34,Joe Hart,.714,90,GK,"3,240",0,36,27,22,7,0.94,36,119,14
5,40.0,be BEL,Liverpool,7,43,Simon Mignolet,.669,90,GK,"3,225",1,36,26,17,12,1.20,35,130,14
6,16.7,ar ARG,Crystal Palace,8,49,Julián Speroni,.645,89,GK,"3,204",0,36,35,12,16,1.38,36,138,6
7,13.9,eng ENG,Queens Park Rangers,6,65,Robert Green,.661,88,GK,"3,183",0,36,34,7,22,1.84,36,192,5
8,20.0,ba BIH,Stoke City,8,43,Asmir Begović,.667,90,GK,"3,150",0,35,27,14,13,1.23,35,129,7
9,22.9,fr FRA,Tottenham Hotspur,6,48,Hugo Lloris,.686,88,GK,"3,063",0,35,27,17,11,1.41,35,153,8
10,26.5,us USA,Aston Villa,8,48,Brad Guzan,.676,90,GK,"3,060",0,34,29,8,18,1.41,34,148,9
11,21.9,us USA,Everton,8,44,Tim Howard,.589,89,GK,"2,835",0,32,35,11,12,1.40,32,107,7
12,37.5,be BEL,Chelsea,9,30,Thibaut Courtois,.709,88,GK,"2,813",0,32,22,19,3,0.96,32,103,12
13,23.3,nl NED,Newcastle United,7,47,Tim Krul,.641,90,GK,"2,700",0,30,26,7,15,1.57,30,131,7
14,43.3,eng ENG,Southampton,5,21,Fraser Forster,.741,87,GK,"2,623",0,30,26,15,9,0.72,30,81,13
15,39.3,ro ROU,Sunderland,12,33,Costel Pantilimon,.764,90,GK,"2,520",0,28,27,6,10,1.18,28,140,11
16,39.3,eng ENG,West Bromwich Albion,8,34,Ben Foster,.685,89,GK,"2,485",0,28,31,7,12,1.23,28,108,11
17,19.2,sco SCO,Hull City,7,39,Allan McGregor,.618,90,GK,"2,340",0,26,32,5,13,1.50,26,102,5
18,25.0,dk DEN,Leicester City,5,37,Kasper Schmeichel,.673,90,GK,"2,160",0,24,27,8,11,1.54,24,113,6
19,44.4,co COL,Arsenal,3,11,David Ospina,.807,90,GK,"1,620",0,18,25,13,2,0.61,18,57,8
20,17.6,pl POL,Arsenal,6,21,Wojciech Szczęsny,.667,88,GK,"1,498",0,17,24,7,4,1.26,17,63,3
21,50.0,wal WAL,West Bromwich Albion,3,17,Boaz Myhill,.770,85,GK,935,1,11,31,4,4,1.64,10,74,5
