,goals,squad,shots_on_target,position,shots_on_target_per90,games_subs,goals_assists_pens_per90,minutes,goals_pens_per90,age,cards_per90,fouls_per90,cards_yellow,goals_per90,minutes_per_game,fouls,games_starts,assists,nationality,pens_att,goals_assists_per90,cards_red,pens_made,games,player
0,0,Birmingham City,1,DF,0.03,0,0.00,"3,420",0.00,23,0.08,0.76,3,0.00,90,29,38,0,ie IRL,0,0.00,0,0,38,Stephen Kelly
1,0,West Ham United,0,GK,0.00,0,0.00,"3,420",0.00,27,0.05,0.00,2,0.00,90,0,38,0,eng ENG,0,0.00,0,0,38,Robert Green
2,0,Blackburn Rovers,0,GK,0.00,0,0.00,"3,420",0.00,36,0.00,0.00,0,0.00,90,0,38,0,us USA,0,0.00,0,0,38,Brad Friedel
3,0,Reading,0,GK,0.00,0,0.00,"3,420",0.00,35,0.08,0.00,3,0.00,90,0,38,0,us USA,0,0.00,0,0,38,Marcus Hahnemann
4,0,Liverpool,0,GK,0.00,0,0.00,"3,420",0.00,24,0.05,0.00,2,0.00,90,0,38,0,es ESP,0,0.00,0,0,38,Pepe Reina
5,9,Middlesbrough,33,MF,0.87,0,0.34,"3,415",0.18,23,0.08,0.47,3,0.24,90,18,38,6,eng ENG,2,0.40,0,2,38,Stewart Downing
6,8,Everton,13,DF,0.35,1,0.24,"3,375",0.21,24,0.08,1.07,3,0.21,89,40,37,1,eng ENG,0,0.24,0,0,38,Joleon Lescott
7,6,Aston Villa,12,DF,0.32,0,0.21,"3,368",0.16,30,0.03,0.83,1,0.16,89,31,38,2,dk DEN,0,0.21,0,0,38,Martin Laursen
8,6,Reading,19,MF,0.51,0,0.19,"3,347",0.16,26,0.03,0.91,1,0.16,88,34,38,1,eng ENG,0,0.19,0,0,38,James Harper
9,0,Arsenal,3,DF,0.08,1,0.11,"3,330",0.00,22,0.14,1.00,5,0.00,88,37,37,4,fr FRA,0,0.11,0,0,38,Gaël Clichy
10,0,Wigan Athletic,0,GK,0.00,0,0.00,"3,330",0.00,26,0.00,0.00,0,0.00,90,0,37,0,eng ENG,0,0.00,0,0,37,Chris Kirkland
11,6,Blackburn Rovers,50,MF,1.36,0,0.41,"3,320",0.16,22,0.22,1.57,8,0.16,90,58,37,9,eng ENG,0,0.41,0,0,37,David Bentley
12,9,Aston Villa,15,MF,0.41,0,0.38,"3,319",0.11,26,0.14,2.09,5,0.24,90,77,37,10,eng ENG,6,0.52,0,5,37,Gareth Barry
13,5,Reading,26,"FW,MF",0.71,0,0.19,"3,314",0.08,25,0.14,0.95,5,0.14,90,35,37,4,ie IRL,2,0.24,0,2,37,Stephen Hunt
14,4,Wigan Athletic,19,"DF,MF",0.52,0,0.14,"3,312",0.11,27,0.16,1.49,6,0.11,90,55,37,1,at AUT,0,0.14,0,0,37,Paul Scharner
15,8,Aston Villa,25,"FW,MF,DF",0.68,0,0.66,"3,286",0.22,22,0.16,1.04,6,0.22,89,38,37,16,eng ENG,0,0.66,0,0,37,Ashley Young
16,1,Blackburn Rovers,2,DF,0.05,0,0.11,"3,283",0.03,25,0.22,1.12,8,0.03,89,41,37,3,eng ENG,0,0.11,0,0,37,Stephen Warnock
17,11,Aston Villa,37,"FW,MF",1.02,0,0.47,"3,278",0.30,20,0.11,1.26,4,0.30,89,46,37,6,eng ENG,0,0.47,0,0,37,Gabby Agbonlahor
18,1,Aston Villa,3,DF,0.08,0,0.03,"3,261",0.03,29,0.14,0.75,5,0.03,86,27,38,0,nl NED,0,0.03,0,0,38,Wilfred Bouma
19,0,Everton,0,GK,0.00,0,0.00,"3,240",0.00,28,0.03,0.00,1,0.00,90,0,36,0,us USA,0,0.00,0,0,36,Tim Howard
20,2,Everton,8,"MF,DF",0.22,0,0.08,"3,238",0.06,30,0.14,1.25,4,0.06,88,45,37,1,eng ENG,0,0.08,1,0,37,Phil Neville
21,1,West Ham United,5,DF,0.14,0,0.14,"3,225",0.03,26,0.11,0.92,4,0.03,85,33,38,4,nir NIR,0,0.14,0,0,38,George McCartney
22,3,Reading,10,"MF,DF",0.28,0,0.31,"3,220",0.08,26,0.14,0.42,5,0.08,89,15,36,8,eng ENG,1,0.31,0,0,36,Nicky Shorey
23,5,Fulham,24,MF,0.67,1,0.28,"3,210",0.14,27,0.17,0.95,6,0.14,87,34,36,5,wal WAL,0,0.28,0,0,37,Simon Davies
24,2,Birmingham City,10,MF,0.28,0,0.06,"3,196",0.06,19,0.14,1.38,5,0.06,86,49,37,0,eng ENG,0,0.06,0,0,37,Fabrice Muamba
25,0,Portsmouth,1,DF,0.03,0,0.03,"3,194",0.00,29,0.11,0.65,4,0.00,89,23,36,1,fr FRA,0,0.03,0,0,36,Sylvain Distin
26,19,Blackburn Rovers,45,FW,1.27,1,0.71,"3,185",0.54,25,0.08,1.19,3,0.54,86,42,36,6,py PAR,0,0.71,0,0,37,Roque Santa Cruz
27,0,Portsmouth,0,GK,0.00,0,0.00,"3,150",0.00,36,0.06,0.00,2,0.00,90,0,35,0,eng ENG,0,0.00,0,0,35,David James
28,0,Aston Villa,0,GK,0.00,0,0.00,"3,126",0.00,21,0.06,0.00,1,0.00,89,0,35,0,eng ENG,0,0.00,1,0,35,Scott Carson
29,1,Middlesbrough,4,DF,0.12,0,0.06,"3,108",0.03,28,0.23,0.61,8,0.03,89,21,35,1,eng ENG,0,0.06,0,0,35,Luke Young
30,0,Aston Villa,5,MF,0.15,0,0.06,"3,103",0.00,23,0.32,2.15,10,0.00,86,74,36,2,eng ENG,0,0.06,1,0,36,Nigel Reo-Coker
