,clean_sheets_perc,nationality,squad,draws,goals_against,player,save_perc,minutes_per_game,position,minutes,games_subs,games,age,wins,losses,goals_against_per90,games_starts,shots_on_target_against,clean_sheets
0,23.7,eng ENG,Aston Villa,15,43,David James,.741,90,GK,"3,420",0,38,29,13,10,1.13,38,166,9
1,36.8,nl NED,Liverpool,9,39,Sander Westerveld,.764,90,GK,"3,420",0,38,25,20,9,1.03,38,165,14
2,33.3,eng ENG,Ipswich Town,6,41,Richard Wright,.728,90,GK,"3,240",0,36,22,19,11,1.14,36,151,12
3,40.0,wal WAL,Southampton,8,43,Paul Jones,.744,90,GK,"3,150",0,35,33,14,13,1.23,35,168,14
4,25.7,sco SCO,Tottenham Hotspur,8,50,Neil Sullivan,.738,89,GK,"3,108",0,35,30,12,14,1.45,35,191,9
5,38.2,dk DEN,Sunderland,11,32,Thomas Sørensen,.781,89,GK,"3,018",0,34,24,14,8,0.95,34,146,13
6,17.6,ie IRL,Newcastle United,8,42,Shay Given,.727,89,GK,"3,015",0,34,24,12,13,1.25,34,154,6
7,23.5,tt TRI,West Ham United,10,41,Shaka Hislop,.728,89,GK,"3,015",0,34,31,9,14,1.22,34,151,8
8,31.3,ee EST,Derby County,10,59,Mart Poom,.701,90,GK,"2,960",1,33,28,7,15,1.79,32,197,10
9,18.8,eng ENG,Everton,7,52,Paul Gerrard,.651,90,GK,"2,879",0,32,27,10,15,1.63,32,149,6
10,19.4,eng ENG,Manchester City,9,54,Nicky Weaver,.645,90,GK,"2,790",0,31,21,5,17,1.74,31,152,6
11,22.6,au AUS,Middlesbrough,13,35,Mark Schwarzer,.780,90,GK,"2,783",0,31,27,7,11,1.13,31,159,7
12,46.7,fr FRA,Manchester United,5,18,Fabien Barthez,.816,89,GK,"2,675",0,30,29,21,4,0.61,30,98,14
13,36.0,ie IRL,Charlton Athletic,6,38,Dean Kiely,.691,88,GK,"2,205",0,25,29,10,9,1.55,25,123,9
14,45.8,eng ENG,Arsenal,5,23,David Seaman,.709,90,GK,"2,160",0,24,36,15,4,0.96,24,79,11
15,30.4,it ITA,Chelsea,8,27,Carlo Cudicini,.697,88,GK,"2,115",1,24,26,10,5,1.15,23,89,7
16,34.8,eng ENG,Leeds United,5,20,Nigel Martyn,.780,89,GK,"2,051",0,23,33,15,3,0.88,23,91,8
17,17.4,eng ENG,Coventry City,6,34,Chris Kirkland,.728,87,GK,"2,003",0,23,19,5,11,1.53,23,125,4
18,31.8,eng ENG,Leicester City,5,26,Tim Flowers,.776,85,GK,"1,877",0,22,33,9,7,1.25,22,116,7
19,13.6,eng ENG,Bradford City,6,39,Gary Walsh,.736,85,GK,"1,873",0,22,32,4,12,1.87,22,148,3
