,goals,squad,shots_on_target,position,shots_on_target_per90,games_subs,goals_assists_pens_per90,minutes,goals_pens_per90,age,cards_per90,fouls_per90,cards_yellow,goals_per90,minutes_per_game,fouls,games_starts,assists,nationality,pens_att,goals_assists_per90,cards_red,pens_made,games,player
421,3,Manchester United,7,"FW,MF",2.35,7,1.34,268,1.01,25,0.00,1.01,0,1.01,34,3,1,1,nl NED,0,1.34,0,0,8,Jordi Cruyff
422,0,Bradford City,2,FW,0.68,5,0.00,264,0.00,30,0.00,1.02,0,0.00,38,3,2,0,pt POR,0,0.00,0,0,7,Jorge Cadete
423,0,Chelsea,2,DF,0.70,2,0.00,257,0.00,18,0.00,0.70,0,0.00,64,2,2,0,eng ENG,0,0.00,0,0,4,John Terry
424,0,Watford,1,MF,0.36,8,0.00,248,0.00,21,0.36,0.73,1,0.00,28,2,1,0,is ISL,0,0.00,0,0,9,Jóhann Berg Guðmundsson
425,1,Arsenal,3,"DF,MF",1.10,3,0.37,245,0.37,27,0.00,1.47,0,0.37,49,4,2,0,de GER,0,0.37,0,0,5,Stefan Malz
426,0,Coventry City,0,DF,0.00,1,0.00,243,0.00,29,0.37,1.85,1,0.00,61,5,3,0,ba BIH,0,0.00,0,0,4,Muhamed Konjić
427,0,Aston Villa,1,"MF,FW",0.39,10,0.78,232,0.00,19,0.39,2.72,1,0.00,21,7,1,2,eng ENG,0,0.78,0,0,11,Darius Vassell
428,1,Tottenham Hotspur,2,DF,0.80,3,0.80,225,0.40,28,0.00,1.20,0,0.40,45,3,2,1,ch SUI,0,0.80,0,0,5,Ramon Vega
429,2,Coventry City,5,FW,2.01,4,1.61,224,0.80,22,0.00,0.00,0,0.80,32,0,3,2,pe PER,0,1.61,0,0,7,Ysrael Zúñiga
430,0,Arsenal,0,DF,0.00,4,0.42,213,0.00,29,0.42,3.38,1,0.00,43,8,1,1,ar ARG,0,0.42,0,0,5,Nelson Vivas
431,1,Newcastle United,2,"MF,DF",0.85,4,0.42,212,0.42,19,0.00,0.85,0,0.42,35,2,2,0,py PAR,0,0.42,0,0,6,Diego Gavilán
432,0,Sheffield Wednesday,0,MF,0.00,3,0.00,208,0.00,24,0.43,0.43,1,0.00,42,1,2,0,sco SCO,0,0.00,0,0,5,Philip Scott
433,0,Wimbledon,0,MF,0.00,8,0.00,207,0.00,20,0.00,0.00,0,0.00,23,0,1,0,jm JAM,0,0.00,0,0,9,Damien Francis
434,0,West Ham United,0,DF,0.00,2,0.47,192,0.00,29,0.47,1.41,1,0.00,48,3,2,1,eng ENG,0,0.47,0,0,4,Gary Charles
435,0,Derby County,0,"FW,MF",0.00,2,0.00,189,0.00,27,0.00,3.33,0,0.00,47,7,2,0,il ISR,0,0.00,0,0,4,Avi Nimni
436,0,Tottenham Hotspur,0,"DF,MF",0.00,1,0.00,186,0.00,18,0.00,0.00,0,0.00,62,0,2,0,eng ENG,0,0.00,0,0,3,Ledley King
437,0,Manchester United,0,DF,0.00,1,0.00,185,0.00,30,0.00,0.00,0,0.00,62,0,2,0,no NOR,0,0.00,0,0,3,Ronny Johnsen
438,0,Leicester City,0,MF,0.00,3,0.49,182,0.00,21,0.00,0.99,0,0.00,46,2,1,1,sco SCO,0,0.49,0,0,4,Stuart Campbell
439,0,Sunderland,2,FW,0.99,11,0.49,182,0.00,24,0.99,8.90,2,0.00,17,18,0,1,eng ENG,0,0.49,0,0,11,Danny Dichio
440,0,Liverpool,0,GK,0.00,0,0.00,180,0.00,28,0.00,0.00,0,0.00,90,0,2,0,us USA,0,0.00,0,0,2,Brad Friedel
441,0,Coventry City,1,MF,0.51,7,0.00,178,0.00,21,0.51,1.01,1,0.00,22,2,1,0,no NOR,0,0.00,0,0,8,Runar Normann
442,1,Newcastle United,2,MF,1.03,5,0.51,175,0.51,23,0.00,0.00,0,0.51,29,0,1,0,sco SCO,0,0.51,0,0,6,Stephen Glass
443,0,Aston Villa,0,DF,0.00,4,0.00,175,0.00,25,0.00,2.57,0,0.00,35,5,1,0,il ISR,0,0.00,0,0,5,Najwan Ghrayib
444,2,Aston Villa,3,FW,1.62,3,1.08,167,1.08,21,0.00,1.62,0,1.08,33,3,2,0,eng ENG,0,1.08,0,0,5,Richard Walker
445,0,Southampton,0,DF,0.00,1,0.00,157,0.00,20,0.00,1.15,0,0.00,79,2,1,0,eng ENG,0,0.00,0,0,2,Garry Monk
446,0,Derby County,1,FW,0.58,1,0.58,154,0.00,19,0.00,0.58,0,0.00,51,1,2,1,eng ENG,0,0.58,0,0,3,Lee Morris
447,0,Watford,2,FW,1.20,2,0.60,150,0.00,19,0.60,3.60,1,0.00,50,6,1,1,eng ENG,0,0.60,0,0,3,Gifton Noel-Williams
448,0,Everton,1,FW,0.60,1,0.60,150,0.00,19,0.00,3.00,0,0.00,50,5,2,1,eng ENG,0,0.60,0,0,3,Phil Jevons
449,0,Tottenham Hotspur,1,MF,0.60,4,0.60,149,0.00,17,0.00,1.21,0,0.00,30,2,1,1,eng ENG,0,0.60,0,0,5,Matthew Etherington
450,0,Tottenham Hotspur,0,MF,0.00,2,0.00,147,0.00,19,0.00,0.61,0,0.00,49,1,1,0,wal WAL,0,0.00,0,0,3,Simon Davies
451,0,Watford,1,FW,0.63,3,0.00,143,0.00,23,0.00,3.15,0,0.00,36,5,1,0,,0,0.00,0,0,4,Nick Wright
452,0,Leicester City,0,MF,0.00,1,0.63,142,0.00,25,0.63,2.54,1,0.00,71,4,1,1,eng ENG,0,0.63,0,0,2,Graham Fenton
453,0,Derby County,2,MF,1.29,7,0.00,139,0.00,17,0.65,2.59,1,0.00,17,4,1,0,eng ENG,0,0.00,0,0,8,Adam Murray
454,0,Bradford City,1,"FW,MF",0.67,9,0.00,135,0.00,21,0.00,2.00,0,0.00,15,3,0,0,eng ENG,0,0.00,0,0,9,Isaiah Rankin
455,0,Manchester United,0,"DF,MF",0.00,5,0.00,134,0.00,21,0.00,0.67,0,0.00,27,1,0,0,eng ENG,0,0.00,0,0,5,Ronnie Wallwork
456,0,Sheffield Wednesday,0,MF,0.00,1,0.00,132,0.00,20,0.00,0.68,0,0.00,66,1,1,0,ie IRL,0,0.00,0,0,2,Mark McKeever
457,0,Newcastle United,1,FW,0.69,4,0.00,130,0.00,19,0.00,4.85,0,0.00,26,7,1,0,br BRA,0,0.00,0,0,5,Pilo
458,0,Sunderland,0,"DF,MF",0.00,1,0.00,127,0.00,34,0.71,1.42,1,0.00,64,2,1,0,de GER,0,0.00,0,0,2,Thomas Helmer
459,0,Derby County,0,FW,0.00,5,0.00,127,0.00,23,0.71,1.42,1,0.00,25,2,0,0,sco SCO,0,0.00,0,0,5,Kevin Harper
460,0,Manchester United,0,MF,0.00,3,1.45,124,0.00,20,0.00,1.45,0,0.00,31,2,1,2,eng ENG,0,1.45,0,0,4,Jonathan Greening
461,1,Sunderland,2,FW,1.51,8,0.76,119,0.76,19,0.00,0.76,0,0.76,15,1,0,0,ie IRL,0,0.76,0,0,8,Michael Reddy
462,0,Bradford City,0,DF,0.00,4,0.00,113,0.00,22,0.80,1.59,1,0.00,23,2,1,0,,0,0.00,0,0,5,Ashley Westwood
463,0,Leicester City,0,"FW,MF",0.00,0,0.00,110,0.00,26,0.00,3.27,0,0.00,55,4,2,0,is ISL,0,0.00,0,0,2,Arnar Gunnlaugsson
464,0,Watford,0,DF,0.00,0,0.00,109,0.00,19,0.00,1.65,0,0.00,55,2,2,0,eng ENG,0,0.00,0,0,2,James Panayi
465,0,Newcastle United,0,DF,0.00,1,0.00,107,0.00,26,0.00,0.00,0,0.00,54,0,1,0,fr FRA,0,0.00,0,0,2,Laurent Charvet
