,goals,squad,shots_on_target,position,shots_on_target_per90,games_subs,goals_assists_pens_per90,minutes,goals_pens_per90,age,cards_per90,fouls_per90,cards_yellow,goals_per90,minutes_per_game,fouls,games_starts,assists,nationality,pens_att,goals_assists_per90,cards_red,pens_made,games,player
0,2,Sheffield Wednesday,8,"DF,MF",0.21,0,0.08,"3,420",0.05,28,0.11,,3,0.05,90,,38,1,eng ENG,0,0.08,1,0,38,Peter Atherton
1,5,West Ham United,21,MF,0.55,0,0.24,"3,420",0.11,20,0.08,,3,0.13,90,,38,5,eng ENG,1,0.26,0,1,38,Frank Lampard
2,0,Wimbledon,0,GK,0.00,0,0.00,"3,420",0.00,28,0.11,,4,0.00,90,,38,0,sco SCO,0,0.00,0,0,38,Neil Sullivan
3,4,Leicester City,13,MF,0.34,0,0.42,"3,420",0.11,29,0.11,,4,0.11,90,,38,12,eng ENG,0,0.42,0,0,38,Steve Guppy
4,3,Middlesbrough,12,"DF,MF",0.32,0,0.18,"3,420",0.08,25,0.08,,3,0.08,90,,38,4,eng ENG,0,0.18,0,0,38,Dean Gordon
5,1,Aston Villa,5,DF,0.13,0,0.03,"3,420",0.03,27,0.13,,5,0.03,90,,38,0,eng ENG,0,0.03,0,0,38,Gareth Southgate
6,0,Everton,0,GK,0.00,0,0.00,"3,420",0.00,24,0.08,,3,0.00,90,,38,0,no NOR,0,0.00,0,0,38,Thomas Myhre
7,0,Charlton Athletic,7,DF,0.18,0,0.03,"3,409",0.00,28,0.05,,2,0.00,90,,38,1,eng ENG,0,0.03,0,0,38,Chris Powell
8,0,Aston Villa,6,DF,0.16,0,0.05,"3,405",0.00,26,0.08,,3,0.00,90,,38,2,eng ENG,0,0.05,0,0,38,Alan Wright
9,2,Sheffield Wednesday,11,MF,0.30,0,0.11,"3,345",0.05,31,0.08,,3,0.05,88,,38,2,nl NED,0,0.11,0,0,38,Wim Jonk
10,6,Tottenham Hotspur,9,"FW,DF",0.24,0,0.16,"3,330",0.16,23,0.00,,0,0.16,90,,37,0,eng ENG,0,0.16,0,0,37,Sol Campbell
11,0,West Ham United,0,GK,0.00,0,0.00,"3,330",0.00,29,0.03,,0,0.00,90,,37,0,tt TRI,0,0.00,1,0,37,Shaka Hislop
12,0,Tottenham Hotspur,8,DF,0.22,0,0.08,"3,321",0.00,21,0.11,,4,0.00,90,,37,3,ie IRL,0,0.08,0,0,37,Stephen Carr
13,3,Leicester City,13,DF,0.35,0,0.14,"3,306",0.05,29,0.19,,7,0.08,89,,37,3,sco SCO,2,0.16,0,1,37,Matt Elliott
14,1,Leicester City,12,MF,0.33,0,0.14,"3,295",0.03,27,0.16,,6,0.03,89,,37,4,nir NIR,0,0.14,0,0,37,Neil Lennon
15,1,Sheffield Wednesday,6,DF,0.17,0,0.06,"3,272",0.03,26,0.08,,3,0.03,88,,37,1,br BRA,0,0.06,0,0,37,Emerson Thome
16,0,Coventry City,8,DF,0.22,1,0.00,"3,261",0.00,29,0.06,,2,0.00,88,,36,0,eng ENG,0,0.00,0,0,37,Richard Shaw
17,3,Everton,9,DF,0.25,1,0.03,"3,255",0.00,18,0.22,,8,0.08,88,,36,1,eng ENG,4,0.11,0,3,37,Michael Ball
18,0,Sheffield Wednesday,6,DF,0.17,0,0.00,"3,241",0.00,32,0.06,,2,0.00,88,,37,0,eng ENG,0,0.00,0,0,37,Des Walker
19,0,Coventry City,0,GK,0.00,0,0.00,"3,240",0.00,25,0.06,,2,0.00,90,,36,0,se SWE,0,0.00,0,0,36,Magnus Hedman
20,3,Charlton Athletic,14,MF,0.39,0,0.14,"3,239",0.08,25,0.11,,4,0.08,85,,38,2,ie IRL,0,0.14,0,0,38,Mark Kinsella
21,0,Derby County,7,DF,0.20,0,0.00,"3,218",0.00,26,0.20,,7,0.00,87,,37,0,dk DEN,0,0.00,0,0,37,Jacob Laursen
22,6,Leeds United,17,"MF,FW",0.48,2,0.48,"3,200",0.17,19,0.08,,3,0.17,84,,36,11,au AUS,0,0.48,0,0,38,Harry Kewell
23,0,Leicester City,0,GK,0.00,0,0.00,"3,167",0.00,28,0.06,,2,0.00,88,,36,0,us USA,0,0.00,0,0,36,Kasey Keller
24,6,West Ham United,22,MF,0.63,0,0.28,"3,167",0.17,25,0.20,,7,0.17,88,,36,4,eng ENG,0,0.28,0,0,36,Trevor Sinclair
25,0,Wimbledon,3,DF,0.09,0,0.03,"3,150",0.00,27,0.09,,3,0.00,90,,35,1,ie IRL,0,0.03,0,0,35,Kenny Cunningham
