,goals,squad,shots_on_target,position,shots_on_target_per90,games_subs,goals_assists_pens_per90,minutes,goals_pens_per90,age,cards_per90,fouls_per90,cards_yellow,goals_per90,minutes_per_game,fouls,games_starts,assists,nationality,pens_att,goals_assists_per90,cards_red,pens_made,games,player
0,0,Arsenal,0,GK,0.00,0,0.00,"3,420",0.00,21,0.05,0.00,2,0.00,90,0,38,0,pl POL,0,0.00,0,0,38,Wojciech Szczęsny
1,0,Wigan Athletic,0,GK,0.00,0,0.00,"3,420",0.00,29,0.03,0.00,1,0.00,90,0,38,0,om OMA,0,0.00,0,0,38,Ali Al-Habsi
2,3,Wolverhampton Wanderers,6,"MF,DF,FW",0.16,0,0.11,"3,420",0.08,25,0.05,0.37,2,0.08,90,14,38,1,ie IRL,0,0.11,0,0,38,Stephen Ward
3,0,Fulham,4,DF,0.11,0,0.00,"3,420",0.00,30,0.18,0.63,7,0.00,90,24,38,0,no NOR,0,0.00,0,0,38,Brede Hangeland
4,0,Tottenham Hotspur,0,GK,0.00,0,0.00,"3,420",0.00,40,0.00,0.00,0,0.00,90,0,38,0,us USA,0,0.00,0,0,38,Brad Friedel
5,1,Everton,2,GK,0.05,0,0.03,"3,420",0.03,32,0.03,0.00,1,0.03,90,0,38,0,us USA,0,0.03,0,0,38,Tim Howard
6,0,Manchester City,0,GK,0.00,0,0.00,"3,420",0.00,24,0.00,0.00,0,0.00,90,0,38,0,eng ENG,0,0.00,0,0,38,Joe Hart
7,0,Newcastle United,0,GK,0.00,0,0.00,"3,420",0.00,23,0.11,0.00,4,0.00,90,0,38,0,nl NED,0,0.00,0,0,38,Tim Krul
8,0,Wigan Athletic,7,DF,0.19,1,0.00,"3,349",0.00,28,0.16,1.10,6,0.00,88,41,37,0,hn HON,0,0.00,0,0,38,Maynor Figueroa
9,7,Stoke City,19,"MF,FW",0.51,0,0.22,"3,331",0.08,27,0.08,1.19,3,0.19,88,44,38,5,ie IRL,6,0.32,0,4,38,Jonathan Walters
10,30,Arsenal,81,FW,2.19,1,1.05,"3,331",0.76,27,0.22,0.84,8,0.81,88,31,37,11,nl NED,3,1.11,0,2,38,Robin van Persie
11,0,Swansea City,0,GK,0.00,0,0.00,"3,330",0.00,27,0.05,0.00,2,0.00,90,0,37,0,nl NED,0,0.00,0,0,37,Michel Vorm
12,1,Swansea City,5,DF,0.14,0,0.03,"3,330",0.03,26,0.16,1.11,6,0.03,90,41,37,0,wal WAL,0,0.03,0,0,37,Ashley Williams
13,0,West Bromwich Albion,0,GK,0.00,0,0.00,"3,330",0.00,28,0.00,0.00,0,0.00,90,0,37,0,eng ENG,0,0.00,0,0,37,Ben Foster
