,clean_sheets_perc,nationality,squad,draws,goals_against,player,save_perc,minutes_per_game,position,minutes,games_subs,games,age,wins,losses,goals_against_per90,games_starts,shots_on_target_against,clean_sheets
0,34.2,pl POL,Arsenal,7,49,Wojciech Szczęsny,.637,90,GK,"3,420",0,38,21,21,10,1.29,38,135,13
1,21.1,om OMA,Wigan Athletic,10,62,Ali Al-Habsi,.690,90,GK,"3,420",0,38,29,11,17,1.63,38,200,8
2,36.8,us USA,Tottenham Hotspur,9,41,Brad Friedel,.748,90,GK,"3,420",0,38,40,20,9,1.08,38,163,14
3,31.6,us USA,Everton,11,40,Tim Howard,.710,90,GK,"3,420",0,38,32,15,12,1.05,38,138,12
4,44.7,eng ENG,Manchester City,5,29,Joe Hart,.782,90,GK,"3,420",0,38,24,28,5,0.76,38,133,17
5,39.5,nl NED,Newcastle United,8,51,Tim Krul,.710,90,GK,"3,420",0,38,23,19,11,1.34,38,176,15
6,37.8,nl NED,Swansea City,11,49,Michel Vorm,.747,90,GK,"3,330",0,37,27,12,14,1.32,37,194,14
7,27.0,eng ENG,West Bromwich Albion,8,49,Ben Foster,.705,90,GK,"3,330",0,37,28,13,16,1.32,37,166,10
8,8.1,eng ENG,Norwich City,11,63,John Ruddy,.711,90,GK,"3,320",0,37,24,12,14,1.71,37,218,3
9,8.8,eng ENG,Blackburn Rovers,6,71,Paul Robinson,.570,90,GK,"3,060",0,34,31,7,21,2.09,34,165,3
10,29.4,cz CZE,Chelsea,10,39,Petr Čech,.721,90,GK,"3,060",0,34,29,16,9,1.15,34,140,10
11,8.8,wal WAL,Wolverhampton Wanderers,8,73,Wayne Hennessey,.703,90,GK,"3,060",0,34,24,5,21,2.15,34,246,3
12,35.3,es ESP,Liverpool,9,35,Pepe Reina,.706,90,GK,"3,052",0,34,28,13,12,1.03,34,119,12
13,21.2,ie IRL,Queens Park Rangers,6,59,Paddy Kenny,.655,90,GK,"2,970",0,33,33,9,17,1.79,33,171,7
14,25.0,ie IRL,Aston Villa,16,45,Shay Given,.712,88,GK,"2,827",0,32,35,5,10,1.43,32,156,8
15,33.3,au AUS,Fulham,7,37,Mark Schwarzer,.738,90,GK,"2,700",0,30,38,11,12,1.23,30,141,10
16,44.8,es ESP,Manchester United,5,29,David de Gea,.784,90,GK,"2,610",0,29,20,20,4,1.00,29,134,13
17,37.9,be BEL,Sunderland,8,33,Simon Mignolet,.763,89,GK,"2,571",0,29,23,9,11,1.16,29,139,11
18,31.8,ba BIH,Stoke City,8,31,Asmir Begović,.713,87,GK,"1,998",1,23,24,7,8,1.40,22,108,7
19,5.0,hu HUN,Bolton Wanderers,5,40,Ádám Bogdán,.672,90,GK,"1,800",0,20,23,6,9,2.00,20,122,1
20,11.1,fi FIN,Bolton Wanderers,1,37,Jussi Jääskeläinen,.667,90,GK,"1,620",0,18,36,4,13,2.06,18,111,2
21,12.5,dk DEN,Stoke City,4,22,Thomas Sørensen,.681,89,GK,"1,422",0,16,35,4,7,1.39,16,69,2
22,12.5,ie IRL,Sunderland,3,11,Keiren Westwood,.593,84,GK,759,1,9,26,2,4,1.30,8,27,1
23,75.0,dk DEN,Manchester United,0,4,Anders Lindegaard,.826,90,GK,720,0,8,27,7,1,0.50,8,23,6
24,12.5,eng ENG,Fulham,3,14,David Stockdale,.763,90,GK,720,0,8,25,3,2,1.75,8,59,1
25,16.7,us USA,Aston Villa,1,8,Brad Guzan,.724,85,GK,593,1,7,26,2,4,1.21,6,29,1
26,0.0,cz CZE,Queens Park Rangers,1,7,Radek Černý,.806,90,GK,450,0,5,37,0,4,1.40,5,36,0
27,25.0,nl NED,Wolverhampton Wanderers,2,8,Dorus de Vries,.600,80,GK,320,0,4,30,0,2,2.25,4,20,1
28,0.0,br BRA,Liverpool,1,3,Doni,.727,74,GK,295,0,4,31,0,2,0.92,4,11,0
29,0.0,eng ENG,Blackburn Rovers,1,5,Mark Bunn,.737,90,GK,270,0,3,26,1,1,1.67,3,19,0
30,0.0,pt POR,Chelsea,0,2,Henrique Hilário,.800,90,GK,180,0,2,35,2,0,1.00,2,10,0
31,0.0,eng ENG,Chelsea,0,5,Ross Turnbull,.545,90,GK,180,0,2,26,1,1,2.50,2,11,0
32,0.0,eng ENG,Norwich City,0,3,Declan Rudd,.700,50,GK,100,1,2,20,0,1,2.70,1,10,0
33,0.0,hu HUN,West Bromwich Albion,0,3,Márton Fülöp,.400,90,GK,90,0,1,28,0,1,3.00,1,5,0
34,0.0,de GER,Swansea City,0,2,Gerhard Tremmel,.500,90,GK,90,0,1,32,0,1,2.00,1,4,0
35,0.0,eng ENG,Blackburn Rovers,0,2,Jake Kean,.667,90,GK,90,0,1,20,0,1,2.00,1,6,0
36,0.0,sco SCO,Sunderland,1,2,Craig Gordon,.500,90,GK,90,0,1,28,0,0,2.00,1,4,0
37,100.0,eng ENG,Manchester United,0,0,Ben Amos,1.000,90,GK,90,0,1,21,1,0,0.00,1,2,1
38,,au AUS,Liverpool,0,2,Brad Jones,.714,65,GK,65,1,1,29,1,0,2.77,0,7,0
39,,ng NGA,Wolverhampton Wanderers,0,1,Carl Ikeme,.800,40,GK,40,1,1,25,0,0,2.25,0,5,0
