,clean_sheets_perc,nationality,squad,draws,goals_against,player,save_perc,minutes_per_game,position,minutes,games_subs,games,age,wins,losses,goals_against_per90,games_starts,shots_on_target_against,clean_sheets
0,36.8,eng ENG,Southampton,10,48,Fraser Forster,.631,90,GK,"3,420",0,38,28,12,16,1.26,38,130,14
1,15.8,eng ENG,West Bromwich Albion,9,51,Ben Foster,.683,90,GK,"3,420",0,38,33,12,17,1.34,38,161,6
2,15.8,br BRA,Watford,7,64,Heurelho Gomes,.638,88,GK,"3,337",0,38,35,11,19,1.73,38,177,6
3,21.6,pl POL,Swansea City,5,69,Łukasz Fabiański,.603,90,GK,"3,330",0,37,31,11,21,1.86,37,174,8
4,44.4,be BEL,Chelsea,3,28,Thibaut Courtois,.717,90,GK,"3,240",0,36,24,29,4,0.78,36,99,16
5,25.7,pl POL,Bournemouth,9,63,Artur Boruc,.642,90,GK,"3,150",0,35,36,11,15,1.80,35,176,9
6,40.0,es ESP,Manchester United,14,29,David de Gea,.718,90,GK,"3,150",0,35,25,16,5,0.83,35,103,14
7,28.6,eng ENG,Burnley,7,48,Tom Heaton,.746,90,GK,"3,150",0,35,30,11,17,1.37,35,189,10
8,34.3,cz CZE,Arsenal,5,37,Petr Čech,.753,88,GK,"3,097",0,35,34,22,7,1.08,35,150,12
9,44.1,fr FRA,Tottenham Hotspur,5,24,Hugo Lloris,.762,88,GK,"3,004",0,34,29,24,4,0.72,34,101,15
10,26.7,dk DEN,Leicester City,7,47,Kasper Schmeichel,.703,89,GK,"2,666",0,30,29,10,13,1.59,30,158,8
11,13.8,eng ENG,Sunderland,4,50,Jordan Pickford,.735,90,GK,"2,610",0,29,22,5,20,1.72,29,189,4
12,24.1,wal WAL,Crystal Palace,3,46,Wayne Hennessey,.657,90,GK,"2,610",0,29,29,9,17,1.59,29,134,7
13,32.1,eng ENG,Stoke City,8,34,Lee Grant,.724,90,GK,"2,520",0,28,33,10,10,1.21,28,123,9
14,32.1,be BEL,Liverpool,7,30,Simon Mignolet,.634,90,GK,"2,520",0,28,28,16,5,1.07,28,82,9
15,28.6,es ESP,Middlesbrough,10,36,Víctor Valdés,.695,90,GK,"2,520",0,28,34,3,15,1.29,28,118,8
16,22.7,ch SUI,Hull City,4,36,Eldin Jakupović,.664,90,GK,"1,980",0,22,31,8,10,1.64,22,107,5
17,18.2,ie IRL,West Ham United,5,39,Darren Randolph,.625,90,GK,"1,980",0,22,29,7,10,1.77,22,104,4
18,22.7,cl CHI,Manchester City,5,26,Claudio Bravo,.567,89,GK,"1,968",0,22,33,12,5,1.19,22,60,5
19,52.6,es ESP,Everton,4,20,Joel Robles,.750,87,GK,"1,737",1,20,26,12,3,1.04,19,80,10
20,15.8,nl NED,Everton,6,24,Maarten Stekelenburg,.647,89,GK,"1,683",0,19,33,5,8,1.28,19,68,3
21,37.5,ar ARG,Manchester City,4,13,Willy Caballero,.711,85,GK,"1,452",1,17,34,11,1,0.81,16,45,6
22,0.0,sco SCO,Hull City,3,44,David Marshall,.589,90,GK,"1,440",0,16,31,1,12,2.75,16,107,0
23,37.5,es ESP,West Ham United,4,25,Adrián,.679,90,GK,"1,440",0,16,29,5,7,1.56,16,78,6
24,30.0,de GER,Liverpool,3,12,Loris Karius,.625,90,GK,900,0,10,23,6,1,1.20,10,32,3
25,30.0,us USA,Middlesbrough,3,17,Brad Guzan,.679,90,GK,900,0,10,31,2,5,1.70,10,53,3
26,0.0,fr FRA,Crystal Palace,2,17,Steve Mandanda,.605,90,GK,810,0,9,31,3,4,1.89,9,43,0
27,22.2,it ITA,Sunderland,2,19,Vito Mannone,.678,90,GK,810,0,9,28,1,6,2.11,9,59,2
28,12.5,de GER,Leicester City,1,16,Ron-Robert Zieler,.515,84,GK,754,1,9,27,2,5,1.91,8,33,1
29,0.0,ie IRL,Stoke City,1,14,Shay Given,.576,90,GK,450,0,5,40,0,4,2.80,5,33,0
30,40.0,eng ENG,Stoke City,2,8,Jack Butland,.667,90,GK,450,0,5,23,1,2,1.60,5,24,2
31,50.0,nl NED,Tottenham Hotspur,3,2,Michel Vorm,.778,83,GK,416,1,5,32,2,0,0.43,4,9,2
32,0.0,eng ENG,Burnley,0,7,Paul Robinson,.632,90,GK,270,0,3,36,0,3,2.33,3,19,0
33,100.0,ar ARG,Manchester United,1,0,Sergio Romero,1.000,90,GK,180,0,2,29,1,0,0.00,2,10,2
34,50.0,ar ARG,Arsenal,0,3,Emiliano Martínez,.625,90,GK,180,0,2,23,1,1,1.50,2,8,1
35,0.0,ba BIH,Chelsea,0,5,Asmir Begović,.167,90,GK,180,0,2,29,1,1,2.50,2,6,0
36,50.0,au AUS,Bournemouth,0,3,Adam Federici,.625,90,GK,180,0,2,31,1,1,1.50,2,8,1
37,0.0,co COL,Arsenal,1,4,David Ospina,.556,72,GK,143,1,2,27,0,1,2.52,1,9,0
38,0.0,se SWE,Swansea City,0,1,Kristoffer Nordfeldt,.800,90,GK,90,0,1,27,1,0,1.00,1,5,0
39,100.0,pt POR,Manchester United,0,0,Joel Castro Pereira,1.000,90,GK,90,0,1,20,1,0,0.00,1,3,1
40,0.0,eng ENG,Bournemouth,1,1,Ryan Allsop,.800,90,GK,90,0,1,24,0,0,1.00,1,5,0
41,,ro ROU,Watford,0,4,Costel Pantilimon,.600,42,GK,83,2,2,29,0,1,4.34,0,10,0
