,goals,squad,shots_on_target,position,shots_on_target_per90,games_subs,goals_assists_pens_per90,minutes,goals_pens_per90,age,cards_per90,fouls_per90,cards_yellow,goals_per90,minutes_per_game,fouls,games_starts,assists,nationality,pens_att,goals_assists_per90,cards_red,pens_made,games,player
170,1,Bolton Wanderers,2,DF,0.09,0,0.05,"1,987",0.05,28,0.27,1.18,6,0.05,86,26,23,0,is ISL,0,0.05,0,0,23,Grétar Steinsson
171,0,Wigan Athletic,1,"MF,DF",0.05,0,0.05,"1,976",0.00,28,0.36,1.64,7,0.00,86,36,23,1,sco SCO,0,0.05,1,0,23,Gary Caldwell
172,3,Wigan Athletic,9,MF,0.41,0,0.18,"1,976",0.14,19,0.09,1.37,2,0.14,82,30,24,1,ie IRL,0,0.18,0,0,24,James McCarthy
173,0,Manchester United,2,MF,0.09,5,0.00,"1,972",0.00,29,0.05,0.64,1,0.00,70,14,23,0,eng ENG,0,0.00,0,0,28,Michael Carrick
174,2,Fulham,10,MF,0.46,5,0.18,"1,971",0.09,28,0.14,1.87,3,0.09,70,41,23,2,ng NGA,0,0.18,0,0,28,Dickson Etuhu
175,2,Bolton Wanderers,17,"MF,DF",0.79,14,0.28,"1,948",0.09,28,0.23,1.34,4,0.09,54,29,22,4,eng ENG,0,0.28,1,0,36,Matthew Taylor
176,2,Manchester City,5,DF,0.23,5,0.14,"1,948",0.09,25,0.42,1.80,8,0.09,75,39,21,1,ar ARG,0,0.14,1,0,26,Pablo Zabaleta
177,4,Tottenham Hotspur,20,FW,0.93,14,0.46,"1,945",0.19,29,0.00,1.67,0,0.19,57,36,20,6,eng ENG,0,0.46,0,0,34,Peter Crouch
178,2,Chelsea,6,MF,0.28,7,0.09,"1,933",0.09,23,0.33,2.37,7,0.09,67,51,22,0,br BRA,0,0.09,0,0,29,Ramires
179,0,Sunderland,8,MF,0.37,1,0.00,"1,922",0.00,22,0.56,1.92,10,0.00,84,41,22,0,eng ENG,0,0.00,2,0,23,Lee Cattermole
180,3,Fulham,12,MF,0.56,2,0.28,"1,915",0.14,23,0.00,2.16,0,0.14,80,46,22,3,be BEL,0,0.28,0,0,24,Mousa Dembélé
181,0,Fulham,6,DF,0.28,1,0.09,"1,901",0.00,30,0.14,0.90,3,0.00,83,19,22,2,mx MEX,0,0.09,0,0,23,Carlos Salcido
182,1,Everton,6,"MF,DF",0.29,4,0.05,"1,888",0.05,26,0.43,1.86,9,0.05,70,39,23,0,nl NED,0,0.05,0,0,27,John Heitinga
183,3,Manchester City,4,DF,0.19,2,0.14,"1,884",0.14,27,0.05,0.67,1,0.14,86,14,20,0,eng ENG,0,0.14,0,0,22,Joleon Lescott
184,3,Arsenal,26,"FW,MF",1.24,3,0.62,"1,880",0.14,23,0.24,1.24,5,0.14,75,26,22,10,es ESP,1,0.62,0,0,25,Cesc Fàbregas
185,0,Wigan Athletic,1,MF,0.05,2,0.00,"1,880",0.00,25,0.29,2.35,6,0.00,78,49,22,0,hn HON,0,0.00,0,0,24,Hendry Thomas
186,4,Fulham,10,"FW,MF",0.48,2,0.29,"1,876",0.19,31,0.14,0.72,3,0.19,78,15,22,2,ie IRL,0,0.29,0,0,24,Damien Duff
187,4,Liverpool,14,MF,0.67,1,0.34,"1,870",0.10,30,0.10,1.01,2,0.19,89,21,20,5,eng ENG,3,0.43,0,2,21,Steven Gerrard
188,0,Newcastle United,0,GK,0.00,1,0.00,"1,856",0.00,22,0.00,0.00,0,0.00,88,0,20,0,nl NED,0,0.00,0,0,21,Tim Krul
189,1,Stoke City,3,"DF,MF",0.15,7,0.10,"1,855",0.05,22,0.34,1.26,7,0.05,66,26,21,1,ie IRL,0,0.10,0,0,28,Marc Wilson
190,1,Manchester City,4,DF,0.20,1,0.05,"1,846",0.05,29,0.20,0.59,3,0.05,84,12,21,0,ci CIV,0,0.05,1,0,22,Kolo Touré
191,7,Arsenal,24,FW,1.17,11,0.49,"1,845",0.34,26,0.24,1.56,5,0.34,64,32,18,3,ma MAR,0,0.49,0,0,29,Marouane Chamakh
192,1,Arsenal,3,DF,0.15,2,0.05,"1,820",0.05,29,0.05,0.49,1,0.05,83,10,20,0,fr FRA,0,0.05,0,0,22,Sébastien Squillaci
193,4,Everton,20,MF,0.99,6,0.45,"1,811",0.20,29,0.20,1.59,4,0.20,70,32,20,5,eng ENG,0,0.45,0,0,26,Leon Osman
194,2,Birmingham City,4,DF,0.20,0,0.20,"1,800",0.10,23,0.20,0.95,4,0.10,90,19,20,2,eng ENG,0,0.20,0,0,20,Scott Dann
195,5,Aston Villa,19,MF,0.95,9,0.45,"1,799",0.25,20,0.15,1.90,3,0.25,62,38,20,4,eng ENG,0,0.45,0,0,29,Marc Albrighton
196,1,Arsenal,4,DF,0.20,2,0.05,"1,794",0.05,23,0.15,1.51,3,0.05,82,30,20,0,ch SUI,0,0.05,0,0,22,Johan Djourou
197,18,Arsenal,44,FW,2.24,6,1.22,"1,770",0.81,26,0.20,1.58,4,0.92,71,31,19,8,nl NED,3,1.32,0,2,25,Robin van Persie
198,6,Sunderland,17,"MF,FW",0.87,5,0.41,"1,756",0.31,19,0.10,1.33,2,0.31,68,26,21,2,eng ENG,0,0.41,0,0,26,Danny Welbeck
199,6,Newcastle United,21,FW,1.08,7,0.41,"1,752",0.21,28,0.10,2.36,2,0.31,63,46,21,4,ng NGA,2,0.51,0,2,28,Shola Ameobi
200,0,Stoke City,1,DF,0.05,1,0.05,"1,746",0.00,25,0.21,0.93,4,0.00,79,18,21,1,eng ENG,0,0.05,0,0,22,Andy Wilkinson
201,2,Blackpool,5,DF,0.26,2,0.10,"1,731",0.10,24,0.10,0.73,2,0.10,82,14,19,0,eng ENG,0,0.10,0,0,21,Alex Baptiste
202,1,Manchester City,14,DF,0.73,4,0.10,"1,720",0.05,24,0.37,0.78,6,0.05,72,15,20,1,rs SRB,0,0.10,1,0,24,Aleksandar Kolarov
203,2,Wolverhampton Wanderers,18,MF,0.95,3,0.26,"1,713",0.11,27,0.05,1.05,1,0.11,75,20,20,3,rs SRB,0,0.26,0,0,23,Nenad Milijaš
204,0,Aston Villa,1,DF,0.05,0,0.05,"1,710",0.00,28,0.42,1.21,8,0.00,90,23,19,1,eng ENG,0,0.05,0,0,19,Stephen Warnock
205,0,Manchester United,1,DF,0.05,0,0.00,"1,710",0.00,31,0.00,0.16,0,0.00,90,3,19,0,eng ENG,0,0.00,0,0,19,Rio Ferdinand
206,2,Tottenham Hotspur,3,DF,0.16,2,0.16,"1,706",0.11,25,0.11,0.84,2,0.11,81,16,19,1,sco SCO,0,0.16,0,0,21,Alan Hutton
207,0,Blackpool,0,GK,0.00,1,0.00,"1,695",0.00,32,0.00,0.00,0,0.00,85,0,19,0,gh GHA,0,0.00,0,0,20,Richard Kingson
208,9,Arsenal,24,"MF,FW",1.28,9,0.75,"1,691",0.48,21,0.00,0.37,0,0.48,60,7,19,5,eng ENG,0,0.75,0,0,28,Theo Walcott
209,2,Manchester United,9,"MF,FW",0.48,6,0.48,"1,676",0.11,36,0.27,1.29,5,0.11,67,24,19,7,wal WAL,0,0.48,0,0,25,Ryan Giggs
210,0,Wigan Athletic,1,DF,0.05,2,0.00,"1,669",0.00,30,0.16,0.86,3,0.00,76,16,20,0,bb BRB,0,0.00,0,0,22,Emmerson Boyce
211,1,Everton,6,MF,0.33,1,0.11,"1,653",0.05,22,0.22,1.96,3,0.05,83,36,19,1,be BEL,0,0.11,1,0,20,Marouane Fellaini
212,4,Wigan Athletic,15,MF,0.82,6,0.27,"1,637",0.22,20,0.05,0.82,1,0.22,66,15,19,1,eng ENG,0,0.27,0,0,25,Tom Cleverley
213,1,Tottenham Hotspur,4,DF,0.22,2,0.11,"1,632",0.06,24,0.17,0.94,2,0.06,78,17,19,1,fr FRA,0,0.11,1,0,21,Younès Kaboul
214,11,Newcastle United,29,FW,1.61,1,0.83,"1,625",0.61,21,0.22,2.60,4,0.61,86,47,18,4,eng ENG,0,0.83,0,0,19,Andy Carroll
215,3,Blackburn Rovers,15,FW,0.84,9,0.22,"1,614",0.17,22,0.11,1.00,2,0.17,62,18,17,1,sn SEN,0,0.22,0,0,26,Mame Biram Diouf
216,3,Aston Villa,13,"MF,FW",0.73,9,0.28,"1,602",0.17,23,0.17,1.74,3,0.17,62,31,17,2,eng ENG,0,0.28,0,0,26,Gabby Agbonlahor
217,10,Tottenham Hotspur,26,FW,1.47,11,0.79,"1,589",0.57,28,0.17,1.70,3,0.57,55,30,18,4,ru RUS,0,0.79,0,0,29,Roman Pavlyuchenko
218,1,West Ham United,5,"MF,DF",0.28,1,0.11,"1,579",0.06,21,0.11,0.97,2,0.06,83,17,18,1,eng ENG,0,0.11,0,0,19,James Tomkins
219,1,Wigan Athletic,3,"MF,DF",0.17,8,0.06,"1,577",0.06,26,0.11,0.74,2,0.06,63,13,17,0,nl NED,0,0.06,0,0,25,Ronnie Stam
220,0,Blackpool,0,GK,0.00,0,0.00,"1,575",0.00,28,0.00,0.00,0,0.00,88,0,18,0,sco SCO,0,0.00,0,0,18,Matt Gilks
221,3,West Ham United,17,FW,0.97,8,0.29,"1,575",0.17,23,0.17,1.37,3,0.17,63,24,17,2,ng NGA,0,0.29,0,0,25,Victor Obinna
222,10,Chelsea,25,FW,1.43,15,0.75,"1,570",0.57,24,0.06,0.86,1,0.57,51,15,16,3,ci CIV,0,0.75,0,0,31,Salomon Kalou
223,3,Aston Villa,4,"MF,DF",0.23,3,0.17,"1,569",0.17,20,0.52,1.72,9,0.17,83,30,16,0,ie IRL,0,0.17,0,0,19,Ciaran Clark
224,1,Everton,11,MF,0.63,0,0.06,"1,569",0.06,28,0.11,1.61,2,0.06,87,28,18,0,za RSA,0,0.06,0,0,18,Steven Pienaar
225,0,Newcastle United,0,GK,0.00,0,0.00,"1,564",0.00,35,0.00,0.00,0,0.00,87,0,18,0,eng ENG,0,0.00,0,0,18,Steve Harper
226,3,Fulham,20,FW,1.15,12,0.29,"1,559",0.17,29,0.17,2.14,3,0.17,58,37,15,2,eng ENG,0,0.29,0,0,27,Andrew Johnson
227,0,Blackburn Rovers,6,"MF,FW",0.35,2,0.12,"1,558",0.00,29,0.23,1.27,4,0.00,78,22,18,2,sn SEN,0,0.12,0,0,20,El Hadji Diouf
