,goals,squad,shots_on_target,position,shots_on_target_per90,games_subs,goals_assists_pens_per90,minutes,goals_pens_per90,age,cards_per90,fouls_per90,cards_yellow,goals_per90,minutes_per_game,fouls,games_starts,assists,nationality,pens_att,goals_assists_per90,cards_red,pens_made,games,player
0,0,Leeds United,4,DF,0.10,0,0.07,"3,780",0.00,19,0.05,,2,0.00,90,,42,3,ie IRL,0,0.07,0,0,42,Gary Kelly
1,9,Leeds United,26,MF,0.62,0,0.38,"3,780",0.19,28,0.07,,3,0.21,90,,42,8,sco SCO,1,0.40,0,1,42,Gary McAllister
2,9,Wimbledon,33,MF,0.79,0,0.29,"3,780",0.21,28,0.00,,0,0.21,90,,42,3,jm JAM,0,0.29,0,0,42,Robbie Earle
3,0,Everton,0,GK,0.00,0,0.00,"3,780",0.00,34,0.00,,0,0.00,90,,42,0,wal WAL,0,0.00,0,0,42,Neville Southall
4,4,Swindon Town,14,DF,0.33,0,0.10,"3,780",0.10,30,0.00,,0,0.10,90,,42,0,eng ENG,0,0.10,0,0,42,Shaun Taylor
5,1,Ipswich Town,9,MF,0.21,0,0.07,"3,780",0.02,28,0.00,,0,0.02,90,,42,2,eng ENG,0,0.07,0,0,42,Mick Stockwell
6,1,Norwich City,3,DF,0.07,0,0.02,"3,780",0.02,28,0.07,,3,0.02,90,,42,0,eng ENG,0,0.02,0,0,42,Ian Culverhouse
7,3,Queens Park Rangers,11,DF,0.26,0,0.02,"3,780",0.00,31,0.00,,0,0.07,90,,42,1,eng ENG,4,0.10,0,3,42,Clive Wilson
8,0,West Ham United,0,GK,0.00,0,0.00,"3,780",0.00,31,0.00,,0,0.00,90,,42,0,"cs TCH,cz CZE",0,0.00,0,0,42,Luděk Mikloško
9,2,Manchester United,10,DF,0.24,0,0.12,"3,767",0.05,27,0.07,,3,0.05,90,,42,3,ie IRL,0,0.12,0,0,42,Denis Irwin
10,5,Tottenham Hotspur,19,"DF,MF",0.46,0,0.17,"3,731",0.12,25,0.02,,1,0.12,89,,42,2,eng ENG,0,0.17,0,0,42,Steve Sedgley
11,0,Sheffield Wednesday,5,DF,0.12,0,0.02,"3,718",0.00,27,0.02,,1,0.00,89,,42,1,eng ENG,0,0.02,0,0,42,Des Walker
12,17,Wimbledon,55,FW,1.33,0,0.53,"3,711",0.39,24,0.07,,3,0.41,88,,42,6,eng ENG,2,0.56,0,1,42,Dean Holdsworth
13,14,Liverpool,52,FW,1.27,1,0.41,"3,691",0.34,31,0.05,,2,0.34,88,,41,3,wal WAL,0,0.41,0,0,42,Ian Rush
14,0,Blackburn Rovers,0,GK,0.00,0,0.00,"3,690",0.00,26,0.00,,0,0.00,90,,41,0,eng ENG,0,0.00,0,0,41,Tim Flowers
15,1,Manchester United,4,DF,0.10,0,0.05,"3,690",0.02,28,0.05,,2,0.02,90,,41,1,eng ENG,0,0.05,0,0,41,Gary Pallister
16,11,Leeds United,44,FW,1.07,0,0.42,"3,685",0.27,25,0.05,,2,0.27,90,,41,6,eng ENG,0,0.42,0,0,41,Brian Deane
17,0,Norwich City,0,GK,0.00,0,0.00,"3,685",0.00,29,0.02,,0,0.00,90,,41,0,sco SCO,0,0.00,1,0,41,Bryan Gunn
18,5,Norwich City,17,DF,0.42,0,0.20,"3,685",0.12,29,0.00,,0,0.12,90,,41,3,wal WAL,0,0.20,0,0,41,Mark Bowen
19,25,Norwich City,68,"DF,FW",1.66,0,1.00,"3,680",0.59,20,0.07,,3,0.61,90,,41,17,eng ENG,1,1.03,0,1,41,Chris Sutton
20,0,West Ham United,4,DF,0.10,0,0.00,"3,673",0.00,26,0.07,,3,0.00,90,,41,0,us USA,0,0.00,0,0,41,Steve Potts
21,7,Southampton,25,"MF,DF",0.61,0,0.22,"3,665",0.17,23,0.05,,2,0.17,89,,41,2,eng ENG,0,0.22,0,0,41,Neil Maddison
22,3,Manchester United,8,DF,0.20,0,0.10,"3,656",0.07,32,0.05,,2,0.07,89,,41,1,eng ENG,0,0.10,0,0,41,Steve Bruce
23,0,Wimbledon,0,GK,0.00,0,0.00,"3,647",0.00,31,0.00,,0,0.00,89,,41,0,nl NED,0,0.00,0,0,41,Hans Segers
24,13,West Ham United,32,FW,0.79,3,0.32,"3,642",0.27,32,0.07,,3,0.32,87,,39,2,eng ENG,3,0.37,0,2,42,Trevor Morley
25,2,Blackburn Rovers,9,DF,0.22,1,0.15,"3,633",0.05,24,0.15,,6,0.05,89,,40,4,eng ENG,0,0.15,0,0,41,Graeme Le Saux
26,4,Swindon Town,18,MF,0.45,0,0.22,"3,627",0.10,26,0.10,,4,0.10,89,,41,5,eng ENG,0,0.22,0,0,41,John Moncur
27,11,Coventry City,32,FW,0.80,0,0.35,"3,600",0.23,20,0.05,,2,0.27,90,,40,5,zw ZIM,2,0.40,0,2,40,Peter Ndlovu
28,3,West Ham United,10,DF,0.25,0,0.17,"3,600",0.07,28,0.00,,0,0.07,90,,40,4,eng ENG,0,0.17,0,0,40,Tim Breacker
29,0,Chelsea,0,GK,0.00,0,0.00,"3,600",0.00,24,0.00,,0,0.00,90,,40,0,"ru RUS,su URS",0,0.00,0,0,40,Dmitri Kharine
30,4,Leeds United,9,DF,0.23,0,0.10,"3,600",0.10,29,0.10,,4,0.10,90,,40,0,eng ENG,0,0.10,0,0,40,Chris Fairclough
31,0,Manchester United,0,GK,0.00,0,0.00,"3,600",0.00,29,0.00,,0,0.00,90,,40,0,dk DEN,0,0.00,0,0,40,Peter Schmeichel
32,5,Aston Villa,13,MF,0.33,0,0.23,"3,597",0.13,30,0.03,,1,0.13,90,,40,4,eng ENG,0,0.23,0,0,40,Kevin Richardson
33,34,Newcastle United,78,FW,1.95,0,0.98,"3,596",0.83,21,0.05,,2,0.85,90,,40,6,eng ENG,1,1.00,0,1,40,Andy Cole
34,7,Newcastle United,22,MF,0.55,0,0.40,"3,590",0.18,27,0.00,,0,0.18,88,,41,9,eng ENG,0,0.40,0,0,41,Rob Lee
35,2,Southampton,11,DF,0.28,1,0.15,"3,590",0.05,22,0.10,,4,0.05,88,,40,4,ie IRL,0,0.15,0,0,41,Jeff Kenna
36,1,Blackburn Rovers,5,DF,0.13,0,0.05,"3,579",0.03,23,0.03,,1,0.03,90,,40,1,eng ENG,0,0.05,0,0,40,David May
37,3,Coventry City,10,DF,0.25,0,0.10,"3,555",0.08,22,0.05,,2,0.08,89,,40,1,ie IRL,0,0.10,0,0,40,Phil Babb
38,0,Coventry City,12,"MF,DF",0.31,1,0.03,"3,519",0.00,23,0.00,,0,0.00,88,,39,1,eng ENG,0,0.03,0,0,40,Peter Atherton
39,0,Aston Villa,4,DF,0.10,0,0.00,"3,510",0.00,26,0.05,,2,0.00,90,,39,0,eng ENG,0,0.00,0,0,39,Earl Barrett
40,1,Sheffield United,6,DF,0.15,1,0.13,"3,505",0.03,24,0.08,,2,0.03,88,,39,4,eng ENG,0,0.13,1,0,40,Carl Bradshaw
41,4,Everton,10,MF,0.26,0,0.15,"3,500",0.10,23,0.18,,7,0.10,90,,39,2,eng ENG,0,0.15,0,0,39,John Ebbrell
42,3,Liverpool,11,DF,0.28,0,0.13,"3,495",0.08,25,0.13,,5,0.08,90,,39,2,eng ENG,0,0.13,0,0,39,Neil Ruddock
43,3,Tottenham Hotspur,14,MF,0.36,0,0.13,"3,491",0.08,24,0.15,,6,0.08,90,,39,2,eng ENG,0,0.13,0,0,39,Vinny Samways
44,23,Arsenal,61,FW,1.57,0,0.59,"3,487",0.49,29,0.15,,6,0.59,89,,39,4,eng ENG,4,0.70,0,4,39,Ian Wright
45,2,Coventry City,13,DF,0.34,1,0.05,"3,476",0.05,24,0.00,,0,0.05,87,,39,0,eng ENG,0,0.05,0,0,40,Steve Morgan
46,8,Manchester United,22,MF,0.57,0,0.39,"3,471",0.21,25,0.16,,6,0.21,89,,39,7,eng ENG,0,0.39,0,0,39,Paul Ince
47,1,Blackburn Rovers,6,DF,0.16,3,0.10,"3,467",0.03,23,0.00,,0,0.03,85,,38,3,no NOR,0,0.10,0,0,41,Henning Berg
48,0,Manchester United,8,DF,0.21,1,0.08,"3,466",0.00,29,0.08,,3,0.00,87,,39,3,eng ENG,0,0.08,0,0,40,Paul Parker
49,0,Arsenal,0,GK,0.00,0,0.00,"3,459",0.00,29,0.03,,0,0.00,89,,39,0,eng ENG,0,0.00,1,0,39,David Seaman
50,0,Chelsea,4,DF,0.10,0,0.05,"3,455",0.00,29,0.05,,2,0.00,89,,39,2,sco SCO,0,0.05,0,0,39,Steve Clarke
51,5,Southampton,31,FW,0.81,0,0.31,"3,437",0.13,28,0.21,,8,0.13,88,,39,7,nir NIR,0,0.31,0,0,39,Iain Dowie
52,0,Norwich City,6,MF,0.16,0,0.16,"3,420",0.00,30,0.03,,1,0.00,90,,38,6,eng ENG,0,0.16,0,0,38,Ian Crook
53,1,Queens Park Rangers,14,MF,0.37,0,0.37,"3,413",0.03,36,0.00,,0,0.03,88,,39,13,eng ENG,0,0.37,0,0,39,Ray Wilkins
54,0,Liverpool,3,DF,0.08,0,0.11,"3,412",0.00,21,0.08,,2,0.00,90,,38,4,eng ENG,0,0.11,1,0,38,Rob Jones
55,25,Southampton,62,"MF,FW",1.64,0,0.71,"3,409",0.50,24,0.11,,4,0.66,90,,38,8,eng ENG,6,0.87,0,6,38,Matt Le Tissier
56,0,Oldham Athletic,4,MF,0.11,0,0.05,"3,356",0.00,26,0.08,,3,0.00,86,,39,2,ie IRL,0,0.05,0,0,39,Mike Milligan
57,0,Leeds United,5,DF,0.13,0,0.05,"3,349",0.00,27,0.05,,2,0.00,88,,38,2,eng ENG,0,0.05,0,0,38,Tony Dorigo
58,2,Blackburn Rovers,14,MF,0.38,0,0.16,"3,340",0.05,24,0.00,,0,0.05,88,,38,4,eng ENG,0,0.16,0,0,38,Tim Sherwood
59,0,Wimbledon,6,DF,0.16,0,0.05,"3,330",0.00,27,0.00,,0,0.00,90,,37,2,eng ENG,0,0.05,0,0,37,John Scales
60,0,Everton,5,DF,0.14,1,0.03,"3,318",0.00,21,0.11,,4,0.00,87,,37,1,eng ENG,0,0.03,0,0,38,Matt Jackson
61,4,Blackburn Rovers,17,"MF,FW",0.46,0,0.35,"3,312",0.11,25,0.05,,2,0.11,83,,40,9,eng ENG,0,0.35,0,0,40,Stuart Ripley
62,1,Aston Villa,4,DF,0.11,1,0.05,"3,310",0.03,29,0.14,,5,0.03,87,,37,1,eng ENG,0,0.05,0,0,38,Shaun Teale
63,3,Ipswich Town,11,DF,0.30,0,0.08,"3,301",0.08,28,0.05,,2,0.08,87,,38,0,eng ENG,0,0.08,0,0,38,David Linighan
64,5,Oldham Athletic,12,DF,0.33,0,0.16,"3,299",0.14,30,0.14,,5,0.14,89,,37,1,eng ENG,0,0.16,0,0,37,Richard Jobson
65,3,Ipswich Town,16,MF,0.44,0,0.14,"3,298",0.05,35,0.08,,3,0.08,87,,38,3,sco SCO,2,0.16,0,1,38,John Wark
66,0,Newcastle United,6,DF,0.17,1,0.06,"3,272",0.00,28,0.11,,4,0.00,88,,36,2,eng ENG,0,0.06,0,0,37,Barry Venison
67,0,Sheffield Wednesday,8,"FW,DF",0.22,0,0.08,"3,259",0.00,29,0.03,,1,0.00,86,,38,3,se SWE,0,0.08,0,0,38,Roland Nilsson
68,10,Aston Villa,32,FW,0.88,1,0.22,"3,257",0.19,29,0.00,,0,0.28,86,,37,1,wal WAL,3,0.30,0,3,38,Dean Saunders
69,5,Sheffield Wednesday,11,MF,0.30,0,0.19,"3,251",0.14,27,0.14,,4,0.14,88,,37,2,eng ENG,0,0.19,1,0,37,Carlton Palmer
70,16,Everton,45,FW,1.25,3,0.44,"3,241",0.39,28,0.06,,2,0.44,83,,36,2,eng ENG,3,0.50,0,2,39,Tony Cottee
71,19,Sheffield Wednesday,56,FW,1.56,4,0.69,"3,241",0.53,31,0.08,,3,0.53,81,,36,6,eng ENG,0,0.69,0,0,40,Mark Bright
72,0,Oldham Athletic,4,DF,0.11,0,0.03,"3,220",0.00,21,0.06,,2,0.00,87,,37,1,eng ENG,0,0.03,0,0,37,Craig Fleming
73,2,Wimbledon,11,DF,0.31,2,0.14,"3,203",0.06,24,0.11,,4,0.06,82,,37,3,eng ENG,0,0.14,0,0,39,Warren Barton
74,8,Chelsea,18,"FW,MF",0.51,0,0.34,"3,190",0.23,25,0.06,,2,0.23,86,,37,4,eng ENG,0,0.34,0,0,37,Gavin Peacock
75,1,West Ham United,8,MF,0.23,0,0.08,"3,181",0.03,28,0.03,,1,0.03,88,,36,2,eng ENG,0,0.08,0,0,36,Ian Bishop
76,11,Manchester United,38,FW,1.08,0,0.43,"3,170",0.28,29,0.11,,4,0.31,88,,36,5,wal WAL,1,0.45,0,1,36,Mark Hughes
77,5,Queens Park Rangers,11,MF,0.31,2,0.20,"3,156",0.14,28,0.17,,5,0.14,85,,35,2,eng ENG,0,0.20,1,0,37,Simon Barker
78,0,Chelsea,4,DF,0.11,0,0.03,"3,150",0.00,21,0.17,,6,0.00,90,,35,1,jm JAM,0,0.03,0,0,35,Frank Sinclair
79,21,Newcastle United,46,"FW,MF",1.31,0,0.77,"3,149",0.43,32,0.06,,2,0.60,90,,35,12,eng ENG,7,0.94,0,6,35,Peter Beardsley
80,31,Blackburn Rovers,82,FW,2.35,6,0.86,"3,145",0.80,22,0.06,,2,0.89,79,,34,2,eng ENG,4,0.94,0,3,40,Alan Shearer
81,3,Swindon Town,12,MF,0.34,2,0.17,"3,142",0.09,21,0.09,,3,0.09,83,,36,3,eng ENG,0,0.17,0,0,38,Nicky Summerbee
82,0,Arsenal,5,DF,0.14,0,0.00,"3,108",0.00,26,0.03,,1,0.00,89,,35,0,eng ENG,0,0.00,0,0,35,Tony Adams
