,clean_sheets_perc,nationality,squad,draws,goals_against,player,save_perc,minutes_per_game,position,minutes,games_subs,games,age,wins,losses,goals_against_per90,games_starts,shots_on_target_against,clean_sheets
0,31.6,fi FIN,Bolton Wanderers,8,52,Jussi Jääskeläinen,.759,90,GK,"3,420",0,38,31,16,14,1.37,38,216,12
1,15.8,eng ENG,Tottenham Hotspur,9,54,Paul Robinson,.724,90,GK,"3,420",0,38,26,17,12,1.42,38,196,6
2,31.6,eng ENG,Portsmouth,12,42,David James,.804,90,GK,"3,420",0,38,35,13,13,1.11,38,214,12
3,21.1,us USA,Blackburn Rovers,7,54,Brad Friedel,.804,89,GK,"3,375",0,38,35,14,16,1.44,38,276,8
4,34.2,us USA,Reading,6,45,Marcus Hahnemann,.794,87,GK,"3,308",0,38,34,16,15,1.22,38,218,13
5,30.6,eng ENG,Charlton Athletic,9,55,Scott Carson,.764,90,GK,"3,240",0,36,20,8,19,1.53,36,233,11
6,38.9,us USA,Everton,13,29,Tim Howard,.858,90,GK,"3,240",0,36,27,15,8,0.81,36,204,14
7,27.8,de GER,Arsenal,10,35,Jens Lehmann,.795,90,GK,"3,240",0,36,36,18,8,0.97,36,171,10
8,22.2,au AUS,Middlesbrough,8,48,Mark Schwarzer,.786,90,GK,"3,240",0,36,33,12,16,1.33,36,224,8
9,54.3,es ESP,Liverpool,7,23,Pepe Reina,.857,90,GK,"3,150",0,35,23,19,9,0.66,35,161,19
10,26.5,ie IRL,Sheffield United,7,46,Paddy Kenny,.779,89,GK,"3,032",0,34,28,10,17,1.37,34,208,9
11,37.5,nl NED,Manchester United,4,25,Edwin van der Sar,.836,90,GK,"2,880",0,32,35,24,4,0.78,32,152,12
12,21.9,fi FIN,Fulham,13,45,Antti Niemi,.755,89,GK,"2,851",0,32,34,8,11,1.42,32,184,7
13,20.7,eng ENG,Watford,10,45,Ben Foster,.787,88,GK,"2,565",0,29,23,4,14,1.58,29,211,6
