,pens_made,goals_assists_per90,position,fouls,goals,player,goals_assists_pens_per90,squad,goals_per90,minutes_per_game,games_starts,games_subs,cards_per90,shots_on_target_per90,goals_pens_per90,games,cards_yellow,cards_red,nationality,assists,minutes,fouls_per90,age,shots_on_target,pens_att
0,0,0.00,GK,0,0,Jussi Jääskeläinen,0.00,West Ham United,0.00,90,38,0,0.05,0.00,0.00,38,2,0,fi FIN,0,"3,420",0.00,37,0,0
1,0,0.00,GK,0,0,Asmir Begović,0.00,Stoke City,0.00,90,38,0,0.08,0.00,0.00,38,3,0,ba BIH,0,"3,420",0.00,25,0,0
2,2,0.26,DF,28,5,Leighton Baines,0.21,Everton,0.13,90,38,0,0.11,0.42,0.08,38,4,0,eng ENG,5,"3,420",0.74,27,16,2
3,0,0.00,GK,0,0,Joe Hart,0.00,Manchester City,0.00,90,38,0,0.03,0.00,0.00,38,1,0,eng ENG,0,"3,420",0.00,25,0,0
4,0,0.00,GK,0,0,Simon Mignolet,0.00,Sunderland,0.00,90,38,0,0.03,0.00,0.00,38,1,0,be BEL,0,"3,420",0.00,24,0,0
5,0,0.13,MF,46,3,James McCarthy,0.13,Wigan Athletic,0.08,89,38,0,0.19,0.40,0.08,38,7,0,ie IRL,2,"3,374",1.23,21,15,0
6,0,0.05,DF,36,1,Ryan Shawcross,0.05,Stoke City,0.03,90,37,0,0.24,0.11,0.03,37,9,0,eng ENG,1,"3,330",0.97,24,4,0
7,0,0.00,DF,36,0,Ashley Williams,0.00,Swansea City,0.00,90,37,0,0.19,0.11,0.00,37,7,0,wal WAL,0,"3,330",0.97,27,4,0
8,3,0.25,"FW,MF",40,8,Jonathan Walters,0.16,Stoke City,0.22,87,38,0,0.11,0.68,0.14,38,4,0,ie IRL,1,"3,303",1.09,28,25,5
9,0,0.63,MF,14,12,Santi Cazorla,0.63,Arsenal,0.33,87,37,1,0.03,1.58,0.33,38,1,0,es ESP,11,"3,297",0.38,27,58,0
10,0,0.17,MF,37,0,Jobi McAnuff,0.17,Reading,0.00,86,38,0,0.14,0.36,0.00,38,5,0,jm JAM,6,"3,266",1.02,30,13,0
11,0,0.17,DF,31,2,Matthew Lowton,0.17,Aston Villa,0.06,88,37,0,0.28,0.11,0.06,37,10,0,eng ENG,4,"3,266",0.85,23,4,0
12,0,0.00,DF,30,0,Jonas Olsson,0.00,West Bromwich Albion,0.00,90,36,0,0.14,0.06,0.00,36,5,0,se SWE,0,"3,240",0.83,22,2,0
13,0,0.14,DF,20,3,Gareth McAuley,0.14,West Bromwich Albion,0.08,90,36,0,0.08,0.31,0.08,36,3,0,nir NIR,2,"3,240",0.56,32,11,0
14,0,0.00,GK,0,0,Tim Howard,0.00,Everton,0.00,90,36,0,0.00,0.00,0.00,36,0,0,us USA,0,"3,240",0.00,33,0,0
15,0,0.00,GK,0,0,Brad Guzan,0.00,Aston Villa,0.00,90,36,0,0.06,0.00,0.00,36,2,0,us USA,0,"3,240",0.00,27,0,0
16,0,0.00,GK,0,0,Mark Schwarzer,0.00,Fulham,0.00,90,36,0,0.00,0.00,0.00,36,0,0,au AUS,0,"3,240",0.00,39,0,0
17,0,0.14,DF,32,1,Glen Johnson,0.14,Liverpool,0.03,90,36,0,0.20,0.39,0.03,36,7,0,eng ENG,4,"3,226",0.89,27,14,0
18,0,0.11,"DF,MF",64,1,Bradley Johnson,0.11,Norwich City,0.03,87,37,0,0.28,0.31,0.03,37,10,0,eng ENG,3,"3,222",1.79,25,11,0
19,4,0.50,MF,35,9,Steven Gerrard,0.39,Liverpool,0.25,90,36,0,0.14,1.12,0.14,36,5,0,eng ENG,9,"3,221",0.98,32,40,5
20,0,0.14,MF,62,5,Morgan Schneiderlin,0.14,Southampton,0.14,89,36,0,0.25,0.31,0.14,36,9,0,fr FRA,0,"3,208",1.74,22,11,0
21,0,0.00,GK,0,0,Petr Čech,0.00,Chelsea,0.00,89,36,0,0.03,0.00,0.00,36,1,0,cz CZE,0,"3,195",0.00,30,0,0
22,0,0.20,MF,43,5,Leon Osman,0.20,Everton,0.14,88,36,0,0.26,0.91,0.14,36,9,0,eng ENG,2,"3,175",1.22,31,32,0
23,0,0.11,DF,30,0,Kyle Walker,0.11,Tottenham Hotspur,0.00,88,36,0,0.14,0.20,0.00,36,5,0,eng ENG,4,"3,157",0.86,22,7,0
24,0,0.11,"MF,DF",11,2,Phil Jagielka,0.11,Everton,0.06,88,36,0,0.03,0.26,0.06,36,1,0,eng ENG,2,"3,154",0.31,29,9,0
25,0,0.03,DF,49,1,Robert Huth,0.03,Stoke City,0.03,90,35,0,0.14,0.29,0.03,35,5,0,de GER,0,"3,150",1.40,27,10,0
26,0,0.03,DF,41,1,Winston Reid,0.03,West Ham United,0.03,87,36,0,0.23,0.23,0.03,36,8,0,nz NZL,0,"3,143",1.17,24,8,0
27,0,0.11,DF,25,4,Emmerson Boyce,0.11,Wigan Athletic,0.11,87,36,0,0.14,0.26,0.11,36,5,0,bb BRB,0,"3,138",0.72,32,9,0
28,3,0.58,FW,36,15,Rickie Lambert,0.49,Southampton,0.43,82,35,3,0.06,1.53,0.35,38,2,0,eng ENG,5,"3,126",1.04,30,53,3
29,3,1.01,FW,37,26,Robin van Persie,0.92,Manchester United,0.75,82,35,3,0.17,2.02,0.66,38,6,0,nl NED,9,"3,123",1.07,28,70,4
30,0,0.06,MF,43,1,Steven Nzonzi,0.06,Stoke City,0.03,89,35,0,0.29,0.23,0.03,35,9,1,fr FRA,1,"3,108",1.25,23,8,0
31,0,0.09,DF,24,3,Daniel Agger,0.09,Liverpool,0.09,89,35,0,0.12,0.32,0.09,35,3,1,dk DEN,0,"3,098",0.70,27,11,0
32,0,0.26,DF,34,4,Patrice Evra,0.26,Manchester United,0.12,90,34,0,0.09,0.35,0.12,34,3,0,fr FRA,5,"3,060",1.00,31,12,0
