,games_starts_gk,losses,minutes_per_game_gk,save_perc,nationality,player,position,age,clean_sheets_perc,wins,goals_against_per90,games_subs_gk,goals_against,shots_on_target_against,games_gk,clean_sheets,minutes_gk,draws,squad,pens_made,goals_assists_per90,fouls,goals,goals_assists_pens_per90,goals_per90,minutes_per_game_pl,games_starts_pl,games_subs_pl,cards_per90,shots_on_target_per90,goals_pens_per90,games_pl,cards_yellow,cards_red,assists,minutes_pl,fouls_per90,shots_on_target,pens_att,season
0,42.0,22.0,90.0,0.721,wal,Neville Southall,GK,34.0,23.8,12.0,1.5,0.0,63.0,226.0,42.0,10.0,3780.0,8.0,Everton,0.0,0.0,,0,0.0,0.0,90,42,0,0.0,0.0,0.0,42,0,0.0,0.0,3780,,0.0,0.0,1993
1,42.0,16.0,90.0,0.6990000000000001,"cs,cz",Luděk Mikloško,GK,31.0,19.0,13.0,1.38,0.0,58.0,193.0,42.0,8.0,3780.0,13.0,West Ham United,0.0,0.0,,0,0.0,0.0,90,42,0,0.0,0.0,0.0,42,0,0.0,0.0,3780,,0.0,0.0,1993
2,41.0,14.0,90.0,0.757,eng,Tim Flowers,GK,26.0,31.7,21.0,1.12,0.0,46.0,189.0,41.0,13.0,3690.0,6.0,Blackburn Rovers,0.0,0.0,,0,0.0,0.0,90,41,0,0.0,0.0,0.0,41,0,0.0,0.0,3690,,0.0,0.0,1993
3,41.0,13.0,90.0,0.7020000000000001,sco,Bryan Gunn,GK,29.0,24.4,12.0,1.44,0.0,59.0,198.0,41.0,10.0,3685.0,15.0,Norwich City,0.0,0.0,,0,0.0,0.0,90,41,0,0.02,0.0,0.0,41,0,1.0,0.0,3685,,0.0,0.0,1993
4,41.0,13.0,89.0,0.675,nl,Hans Segers,GK,31.0,26.8,17.0,1.31,0.0,53.0,163.0,41.0,11.0,3647.0,11.0,Wimbledon,0.0,0.0,,0,0.0,0.0,89,41,0,0.0,0.0,0.0,41,0,0.0,0.0,3647,,0.0,0.0,1993
5,40.0,15.0,90.0,0.736,"ru,su",Dmitri Kharine,GK,24.0,27.5,13.0,1.2,0.0,48.0,182.0,40.0,11.0,3600.0,12.0,Chelsea,0.0,0.0,,0,0.0,0.0,90,40,0,0.0,0.0,0.0,40,0,0.0,0.0,3600,,0.0,0.0,1993
6,40.0,4.0,90.0,0.736,dk,Peter Schmeichel,GK,29.0,37.5,26.0,0.92,0.0,37.0,140.0,40.0,15.0,3600.0,10.0,Manchester United,0.0,0.0,,0,0.0,0.0,90,40,0,0.0,0.0,0.0,40,0,0.0,0.0,3600,,0.0,0.0,1993
7,39.0,5.0,89.0,0.8109999999999999,eng,David Seaman,GK,29.0,51.3,18.0,0.65,0.0,25.0,132.0,39.0,20.0,3459.0,16.0,Arsenal,0.0,0.0,,0,0.0,0.0,89,39,0,0.03,0.0,0.0,39,0,1.0,0.0,3459,,0.0,0.0,1993
8,33.0,13.0,90.0,0.804,eng,Steve Ogrizovic,GK,35.0,36.4,10.0,0.97,0.0,32.0,163.0,33.0,12.0,2970.0,10.0,Coventry City,0.0,0.0,,0,0.0,0.0,90,33,0,0.0,0.0,0.0,33,0,0.0,0.0,2970,,0.0,0.0,1993
9,32.0,5.0,90.0,0.75,eng,Kevin Pressman,GK,25.0,25.0,15.0,1.16,0.0,37.0,148.0,32.0,8.0,2880.0,12.0,Sheffield Wednesday,0.0,0.0,,0,0.0,0.0,90,32,0,0.0,0.0,0.0,32,0,0.0,0.0,2880,,0.0,0.0,1993
10,32.0,13.0,89.0,0.685,no,Erik Thorstvedt,GK,30.0,25.0,9.0,1.23,0.0,39.0,124.0,32.0,8.0,2854.0,9.0,Tottenham Hotspur,0.0,0.0,,0,0.0,0.0,89,32,0,0.0,0.0,0.0,32,0,0.0,0.0,2854,,0.0,0.0,1993
11,31.0,14.0,90.0,0.748,eng,Tony Coton,GK,32.0,35.5,5.0,1.19,0.0,37.0,147.0,31.0,11.0,2790.0,12.0,Manchester City,0.0,0.0,,0,0.0,0.0,90,31,0,0.0,0.0,0.0,31,0,0.0,0.0,2790,,0.0,0.0,1993
12,29.0,5.0,89.0,0.659,ie,Alan Kelly Jr.,GK,24.0,31.0,5.0,1.41,1.0,42.0,123.0,30.0,9.0,2683.0,12.0,Sheffield United,0.0,0.0,,0,0.0,0.0,89,29,1,0.0,0.0,0.0,30,0,0.0,0.0,2683,,0.0,0.0,1993
13,28.0,9.0,89.0,0.741,au,Mark Bosnich,GK,21.0,39.3,8.0,0.98,1.0,28.0,108.0,29.0,11.0,2584.0,10.0,Aston Villa,0.0,0.0,,0,0.0,0.0,89,28,1,0.0,0.0,0.0,29,0,0.0,0.0,2584,,0.0,0.0,1993
14,29.0,9.0,89.0,0.68,zw,Bruce Grobbelaar,GK,35.0,24.1,12.0,1.36,0.0,39.0,122.0,29.0,7.0,2576.0,8.0,Liverpool,0.0,0.0,,0,0.0,0.0,89,29,0,0.0,0.0,0.0,29,0,0.0,0.0,2576,,0.0,0.0,1993
15,28.0,15.0,88.0,0.605,eng,Fraser Digby,GK,26.0,14.3,2.0,2.48,0.0,68.0,172.0,28.0,4.0,2471.0,10.0,Swindon Town,0.0,0.0,,0,0.0,0.0,88,28,0,0.07,0.0,0.0,28,2,0.0,0.0,2471,,0.0,0.0,1993
16,27.0,9.0,90.0,0.792,ca,Craig Forrest,GK,25.0,37.0,5.0,1.19,0.0,32.0,154.0,27.0,10.0,2430.0,13.0,Ipswich Town,0.0,0.0,,0,0.0,0.0,90,27,0,0.0,0.0,0.0,27,0,0.0,0.0,2430,,0.0,0.0,1993
17,26.0,7.0,90.0,0.7090000000000001,"cs,cz",Jan Stejskal,GK,31.0,30.8,11.0,1.31,0.0,34.0,117.0,26.0,8.0,2340.0,8.0,Queens Park Rangers,0.0,0.0,,0,0.0,0.0,90,26,0,0.0,0.0,0.0,26,0,0.0,0.0,2340,,0.0,0.0,1993
18,25.0,12.0,90.0,0.6970000000000001,eng,Dave Beasant,GK,34.0,16.0,8.0,1.48,0.0,37.0,122.0,25.0,4.0,2250.0,5.0,Southampton,0.0,0.0,,0,0.0,0.0,90,25,0,0.0,0.0,0.0,25,0,0.0,0.0,2250,,0.0,0.0,1993
19,22.0,3.0,90.0,0.7959999999999999,nan,Mark Beeney,GK,25.0,40.9,10.0,0.91,0.0,20.0,98.0,22.0,9.0,1980.0,9.0,Leeds United,0.0,0.0,,0,0.0,0.0,90,22,0,0.0,0.0,0.0,22,0,0.0,0.0,1980,,0.0,0.0,1993
20,21.0,4.0,89.0,0.833,cz,Pavel Srníček,GK,25.0,38.1,12.0,0.82,0.0,17.0,102.0,21.0,8.0,1864.0,5.0,Newcastle United,0.0,0.0,,0,0.0,0.0,89,21,0,0.05,0.0,0.0,21,0,1.0,0.0,1864,,0.0,0.0,1993
21,20.0,5.0,90.0,0.784,eng,John Lukic,GK,32.0,45.0,8.0,0.95,0.0,19.0,88.0,20.0,9.0,1800.0,7.0,Leeds United,0.0,0.0,,0,0.0,0.0,90,20,0,0.0,0.0,0.0,20,0,0.0,0.0,1800,,0.0,0.0,1993
22,19.0,6.0,90.0,0.779,eng,Mike Hooper,GK,29.0,36.8,11.0,1.0,0.0,19.0,86.0,19.0,7.0,1710.0,2.0,Newcastle United,0.0,0.0,,0,0.0,0.0,90,19,0,0.0,0.0,0.0,19,0,0.0,0.0,1710,,0.0,0.0,1993
23,19.0,8.0,90.0,0.677,eng,Jon Hallworth,GK,27.0,10.5,5.0,1.63,0.0,31.0,96.0,19.0,2.0,1710.0,5.0,Oldham Athletic,0.0,0.0,,0,0.0,0.0,90,19,0,0.0,0.0,0.0,19,0,0.0,0.0,1710,,0.0,0.0,1993
24,16.0,7.0,90.0,0.6579999999999999,wal,Tony Roberts,GK,23.0,12.5,5.0,1.69,0.0,27.0,79.0,16.0,2.0,1440.0,4.0,Queens Park Rangers,0.0,0.0,,0,0.0,0.0,90,16,0,0.0,0.0,0.0,16,0,0.0,0.0,1440,,0.0,0.0,1993
25,15.0,8.0,90.0,0.6990000000000001,eng,Paul Gerrard,GK,20.0,20.0,1.0,1.56,1.0,25.0,83.0,16.0,3.0,1440.0,7.0,Oldham Athletic,0.0,0.0,,0,0.0,0.0,90,15,1,0.0,0.0,0.0,16,0,0.0,0.0,1440,,0.0,0.0,1993
26,15.0,8.0,90.0,0.72,nan,Clive Baker,GK,34.0,26.7,4.0,1.73,0.0,26.0,93.0,15.0,4.0,1350.0,3.0,Ipswich Town,0.0,0.0,,0,0.0,0.0,90,15,0,0.0,0.0,0.0,15,0,0.0,0.0,1350,,0.0,0.0,1993
27,14.0,6.0,84.0,0.672,eng,Nigel Spink,GK,34.0,28.6,7.0,1.56,1.0,22.0,67.0,15.0,4.0,1266.0,2.0,Aston Villa,0.0,0.0,,0,0.0,0.0,84,14,1,0.07,0.0,0.0,15,0,1.0,0.0,1266,,0.0,0.0,1993
28,13.0,4.0,84.0,0.7390000000000001,eng,Simon Tracey,GK,25.0,30.8,3.0,1.29,2.0,18.0,69.0,15.0,4.0,1257.0,6.0,Sheffield United,0.0,0.0,,0,0.0,0.0,84,13,2,0.07,0.0,0.0,15,0,1.0,0.0,1257,,0.0,0.0,1993
29,13.0,7.0,84.0,0.768,eng,David James,GK,22.0,15.4,5.0,1.23,1.0,16.0,69.0,14.0,2.0,1174.0,1.0,Liverpool,0.0,0.0,,0,0.0,0.0,84,13,1,0.0,0.0,0.0,14,0,0.0,0.0,1174,,0.0,0.0,1993
30,13.0,2.0,90.0,0.797,eng,Bobby Mimms,GK,29.0,38.5,6.0,1.0,0.0,13.0,64.0,13.0,5.0,1170.0,5.0,Blackburn Rovers,0.0,0.0,,0,0.0,0.0,90,13,0,0.0,0.0,0.0,13,0,0.0,0.0,1170,,0.0,0.0,1993
31,11.0,5.0,83.0,0.649,nan,Elvis Hammond,,,0.0,3.0,1.66,2.0,20.0,57.0,13.0,0.0,1084.0,5.0,Swindon Town,0.0,0.0,,0,0.0,0.0,83,11,2,0.0,0.0,0.0,13,0,0.0,0.0,1084,,0.0,0.0,1993
32,11.0,1.0,90.0,0.778,wal,Andy Dibble,GK,28.0,18.2,4.0,1.09,0.0,12.0,54.0,11.0,2.0,990.0,6.0,Manchester City,0.0,0.0,,0,0.0,0.0,90,11,0,0.0,0.0,0.0,11,0,0.0,0.0,990,,0.0,0.0,1993
33,10.0,6.0,84.0,0.583,eng,Ian Walker,GK,21.0,10.0,2.0,1.94,1.0,20.0,48.0,11.0,1.0,926.0,3.0,Tottenham Hotspur,0.0,0.0,,0,0.0,0.0,84,10,1,0.0,0.0,0.0,11,0,0.0,0.0,926,,0.0,0.0,1993
34,10.0,5.0,90.0,0.63,eng,Chris Woods,GK,33.0,20.0,1.0,1.7,0.0,17.0,46.0,10.0,2.0,900.0,4.0,Sheffield Wednesday,0.0,0.0,,0,0.0,0.0,90,10,0,0.0,0.0,0.0,10,0,0.0,0.0,900,,0.0,0.0,1993
35,9.0,1.0,90.0,0.629,sco,Jonathan Gould,GK,25.0,22.2,4.0,1.44,0.0,13.0,35.0,9.0,2.0,810.0,4.0,Coventry City,0.0,0.0,,0,0.0,0.0,90,9,0,0.0,0.0,0.0,9,0,0.0,0.0,810,,0.0,0.0,1993
36,8.0,3.0,90.0,0.787,eng,Gary Walsh,GK,25.0,25.0,5.0,1.11,1.0,10.0,47.0,9.0,2.0,810.0,2.0,Manchester United,0.0,0.0,,0,0.0,0.0,90,8,1,0.0,0.0,0.0,9,0,0.0,0.0,810,,0.0,0.0,1993
37,5.0,3.0,90.0,0.727,eng,Ian Andrews,GK,28.0,40.0,2.0,1.2,0.0,6.0,22.0,5.0,2.0,450.0,0.0,Southampton,0.0,0.0,,0,0.0,0.0,90,5,0,0.0,0.0,0.0,5,0,0.0,0.0,450,,0.0,0.0,1993
38,3.0,2.0,80.0,0.813,eng,Alan Miller,GK,23.0,33.3,0.0,0.84,1.0,3.0,16.0,4.0,1.0,321.0,1.0,Arsenal,0.0,0.0,,0,0.0,0.0,80,3,1,0.0,0.0,0.0,4,0,0.0,0.0,321,,0.0,0.0,1993
39,2.0,1.0,81.0,0.583,nir,Tommy Wright,GK,29.0,0.0,1.0,1.84,1.0,5.0,12.0,3.0,0.0,244.0,1.0,Newcastle United,0.0,0.0,,0,0.0,0.0,81,2,1,0.0,0.0,0.0,3,0,0.0,0.0,244,,0.0,0.0,1993
40,2.0,2.0,90.0,0.5,nan,Kevin Hitchcock,GK,30.0,0.0,0.0,2.5,0.0,5.0,10.0,2.0,0.0,180.0,0.0,Chelsea,0.0,0.0,,0,0.0,0.0,90,2,0,0.0,0.0,0.0,2,0,0.0,0.0,180,,0.0,0.0,1993
41,2.0,1.0,90.0,0.625,eng,Lance Key,GK,25.0,50.0,1.0,1.5,0.0,3.0,8.0,2.0,1.0,180.0,0.0,Oldham Athletic,0.0,0.0,,0,0.0,0.0,90,2,0,0.0,0.0,0.0,2,0,0.0,0.0,180,,0.0,0.0,1993
42,1.0,1.0,73.0,0.5,eng,Jon Sheffield,GK,24.0,0.0,0.0,3.1,1.0,5.0,10.0,2.0,0.0,145.0,0.0,Swindon Town,0.0,0.0,,0,0.0,0.0,76,2,0,0.0,0.0,0.0,2,0,0.0,0.0,152,,0.0,0.0,1993
43,1.0,0.0,67.0,1.0,sco,Neil Sullivan,GK,23.0,100.0,1.0,0.0,1.0,0.0,6.0,2.0,1.0,133.0,0.0,Wimbledon,0.0,0.0,,0,0.0,0.0,67,1,1,0.0,0.0,0.0,2,0,0.0,0.0,133,,0.0,0.0,1993
44,1.0,0.0,48.0,0.667,sco,Scott Howie,GK,21.0,0.0,0.0,1.89,1.0,2.0,6.0,2.0,0.0,95.0,2.0,Norwich City,0.0,0.0,,0,0.0,0.0,48,1,1,0.0,0.0,0.0,2,0,0.0,0.0,95,,0.0,0.0,1993
45,,,,,ie,Gary Kelly,DF,19.0,,,,,,,,,,,Leeds United,0.0,0.07,,0,0.07,0.0,90,42,0,0.05,0.1,0.0,42,2,0.0,3.0,3780,,4.0,0.0,1993
46,,,,,sco,Gary McAllister,MF,28.0,,,,,,,,,,,Leeds United,1.0,0.4,,9,0.38,0.21,90,42,0,0.07,0.62,0.19,42,3,0.0,8.0,3780,,26.0,1.0,1993
47,,,,,jm,Robbie Earle,MF,28.0,,,,,,,,,,,Wimbledon,0.0,0.29,,9,0.29,0.21,90,42,0,0.0,0.79,0.21,42,0,0.0,3.0,3780,,33.0,0.0,1993
48,,,,,eng,Shaun Taylor,DF,30.0,,,,,,,,,,,Swindon Town,0.0,0.1,,4,0.1,0.1,90,42,0,0.0,0.33,0.1,42,0,0.0,0.0,3780,,14.0,0.0,1993
49,,,,,eng,Mick Stockwell,MF,28.0,,,,,,,,,,,Ipswich Town,0.0,0.07,,1,0.07,0.02,90,42,0,0.0,0.21,0.02,42,0,0.0,2.0,3780,,9.0,0.0,1993
50,,,,,eng,Ian Culverhouse,DF,28.0,,,,,,,,,,,Norwich City,0.0,0.02,,1,0.02,0.02,90,42,0,0.07,0.07,0.02,42,3,0.0,0.0,3780,,3.0,0.0,1993
51,,,,,eng,Clive Wilson,DF,31.0,,,,,,,,,,,Queens Park Rangers,3.0,0.1,,3,0.02,0.07,90,42,0,0.0,0.26,0.0,42,0,0.0,1.0,3780,,11.0,4.0,1993
52,,,,,ie,Denis Irwin,DF,27.0,,,,,,,,,,,Manchester United,0.0,0.12,,2,0.12,0.05,90,42,0,0.07,0.24,0.05,42,3,0.0,3.0,3767,,10.0,0.0,1993
53,,,,,eng,Steve Sedgley,"DF,MF",25.0,,,,,,,,,,,Tottenham Hotspur,0.0,0.17,,5,0.17,0.12,89,42,0,0.02,0.46,0.12,42,1,0.0,2.0,3731,,19.0,0.0,1993
54,,,,,eng,Des Walker,DF,27.0,,,,,,,,,,,Sheffield Wednesday,0.0,0.02,,0,0.02,0.0,89,42,0,0.02,0.12,0.0,42,1,0.0,1.0,3718,,5.0,0.0,1993
55,,,,,eng,Dean Holdsworth,FW,24.0,,,,,,,,,,,Wimbledon,1.0,0.56,,17,0.53,0.41,88,42,0,0.07,1.33,0.39,42,3,0.0,6.0,3711,,55.0,2.0,1993
56,,,,,wal,Ian Rush,FW,31.0,,,,,,,,,,,Liverpool,0.0,0.41,,14,0.41,0.34,88,41,1,0.05,1.27,0.34,42,2,0.0,3.0,3691,,52.0,0.0,1993
57,,,,,eng,Gary Pallister,DF,28.0,,,,,,,,,,,Manchester United,0.0,0.05,,1,0.05,0.02,90,41,0,0.05,0.1,0.02,41,2,0.0,1.0,3690,,4.0,0.0,1993
58,,,,,eng,Brian Deane,FW,25.0,,,,,,,,,,,Leeds United,0.0,0.42,,11,0.42,0.27,90,41,0,0.05,1.07,0.27,41,2,0.0,6.0,3685,,44.0,0.0,1993
59,,,,,wal,Mark Bowen,DF,29.0,,,,,,,,,,,Norwich City,0.0,0.2,,5,0.2,0.12,90,41,0,0.0,0.42,0.12,41,0,0.0,3.0,3685,,17.0,0.0,1993
60,,,,,eng,Chris Sutton,"DF,FW",20.0,,,,,,,,,,,Norwich City,1.0,1.03,,25,1.0,0.61,90,41,0,0.07,1.66,0.59,41,3,0.0,17.0,3680,,68.0,1.0,1993
61,,,,,us,Steve Potts,DF,26.0,,,,,,,,,,,West Ham United,0.0,0.0,,0,0.0,0.0,90,41,0,0.07,0.1,0.0,41,3,0.0,0.0,3673,,4.0,0.0,1993
62,,,,,eng,Neil Maddison,"MF,DF",23.0,,,,,,,,,,,Southampton,0.0,0.22,,7,0.22,0.17,89,41,0,0.05,0.61,0.17,41,2,0.0,2.0,3665,,25.0,0.0,1993
63,,,,,eng,Steve Bruce,DF,32.0,,,,,,,,,,,Manchester United,0.0,0.1,,3,0.1,0.07,89,41,0,0.05,0.2,0.07,41,2,0.0,1.0,3656,,8.0,0.0,1993
64,,,,,eng,Trevor Morley,FW,32.0,,,,,,,,,,,West Ham United,2.0,0.37,,13,0.32,0.32,87,39,3,0.07,0.79,0.27,42,3,0.0,2.0,3642,,32.0,3.0,1993
65,,,,,eng,Graeme Le Saux,DF,24.0,,,,,,,,,,,Blackburn Rovers,0.0,0.15,,2,0.15,0.05,89,40,1,0.15,0.22,0.05,41,6,0.0,4.0,3633,,9.0,0.0,1993
