,games_starts_gk,losses,minutes_per_game_gk,save_perc,nationality,player,position,age,clean_sheets_perc,wins,goals_against_per90,games_subs_gk,goals_against,shots_on_target_against,games_gk,clean_sheets,minutes_gk,draws,squad,pens_made,goals_assists_per90,fouls,goals,goals_assists_pens_per90,goals_per90,minutes_per_game_pl,games_starts_pl,games_subs_pl,cards_per90,shots_on_target_per90,goals_pens_per90,games_pl,cards_yellow,cards_red,assists,minutes_pl,fouls_per90,shots_on_target,pens_att,season
0,38.0,10.0,90.0,0.637,pl,Wojciech Szczęsny,GK,21,34.2,21.0,1.29,0.0,49.0,135.0,38.0,13.0,3420.0,7.0,Arsenal,0,0.0,0,0,0.0,0.0,90,38,0,0.05,0.0,0.0,38,2,0,0,3420,0.0,0,0,2011
1,38.0,17.0,90.0,0.69,om,Ali Al-Habsi,GK,29,21.1,11.0,1.63,0.0,62.0,200.0,38.0,8.0,3420.0,10.0,Wigan Athletic,0,0.0,0,0,0.0,0.0,90,38,0,0.03,0.0,0.0,38,1,0,0,3420,0.0,0,0,2011
2,38.0,9.0,90.0,0.748,us,Brad Friedel,GK,40,36.8,20.0,1.08,0.0,41.0,163.0,38.0,14.0,3420.0,9.0,Tottenham Hotspur,0,0.0,0,0,0.0,0.0,90,38,0,0.0,0.0,0.0,38,0,0,0,3420,0.0,0,0,2011
3,38.0,12.0,90.0,0.71,us,Tim Howard,GK,32,31.6,15.0,1.05,0.0,40.0,138.0,38.0,12.0,3420.0,11.0,Everton,0,0.03,0,1,0.03,0.03,90,38,0,0.03,0.05,0.03,38,1,0,0,3420,0.0,2,0,2011
4,38.0,5.0,90.0,0.782,eng,Joe Hart,GK,24,44.7,28.0,0.76,0.0,29.0,133.0,38.0,17.0,3420.0,5.0,Manchester City,0,0.0,0,0,0.0,0.0,90,38,0,0.0,0.0,0.0,38,0,0,0,3420,0.0,0,0,2011
5,38.0,11.0,90.0,0.71,nl,Tim Krul,GK,23,39.5,19.0,1.34,0.0,51.0,176.0,38.0,15.0,3420.0,8.0,Newcastle United,0,0.0,0,0,0.0,0.0,90,38,0,0.11,0.0,0.0,38,4,0,0,3420,0.0,0,0,2011
6,37.0,14.0,90.0,0.747,nl,Michel Vorm,GK,27,37.8,12.0,1.32,0.0,49.0,194.0,37.0,14.0,3330.0,11.0,Swansea City,0,0.0,0,0,0.0,0.0,90,37,0,0.05,0.0,0.0,37,2,0,0,3330,0.0,0,0,2011
7,37.0,16.0,90.0,0.705,eng,Ben Foster,GK,28,27.0,13.0,1.32,0.0,49.0,166.0,37.0,10.0,3330.0,8.0,West Bromwich Albion,0,0.0,0,0,0.0,0.0,90,37,0,0.0,0.0,0.0,37,0,0,0,3330,0.0,0,0,2011
8,37.0,14.0,90.0,0.711,eng,John Ruddy,GK,24,8.1,12.0,1.71,0.0,63.0,218.0,37.0,3.0,3320.0,11.0,Norwich City,0,0.0,0,0,0.0,0.0,90,37,0,0.05,0.0,0.0,37,1,1,0,3320,0.0,0,0,2011
9,34.0,21.0,90.0,0.57,eng,Paul Robinson,GK,31,8.8,7.0,2.09,0.0,71.0,165.0,34.0,3.0,3060.0,6.0,Blackburn Rovers,0,0.03,0,0,0.03,0.0,90,34,0,0.0,0.0,0.0,34,0,0,1,3060,0.0,0,0,2011
10,34.0,9.0,90.0,0.721,cz,Petr Čech,GK,29,29.4,16.0,1.15,0.0,39.0,140.0,34.0,10.0,3060.0,10.0,Chelsea,0,0.0,0,0,0.0,0.0,90,34,0,0.0,0.0,0.0,34,0,0,0,3060,0.0,0,0,2011
11,34.0,21.0,90.0,0.703,wal,Wayne Hennessey,GK,24,8.8,5.0,2.15,0.0,73.0,246.0,34.0,3.0,3060.0,8.0,Wolverhampton Wanderers,0,0.0,0,0,0.0,0.0,90,34,0,0.03,0.0,0.0,34,1,0,0,3060,0.0,0,0,2011
12,34.0,12.0,90.0,0.706,es,Pepe Reina,GK,28,35.3,13.0,1.03,0.0,35.0,119.0,34.0,12.0,3052.0,9.0,Liverpool,0,0.0,0,0,0.0,0.0,90,34,0,0.03,0.0,0.0,34,0,1,0,3052,0.0,0,0,2011
13,33.0,17.0,90.0,0.655,ie,Paddy Kenny,GK,33,21.2,9.0,1.79,0.0,59.0,171.0,33.0,7.0,2970.0,6.0,Queens Park Rangers,0,0.0,0,0,0.0,0.0,90,33,0,0.0,0.0,0.0,33,0,0,0,2970,0.0,0,0,2011
14,32.0,10.0,88.0,0.7120000000000001,ie,Shay Given,GK,35,25.0,5.0,1.43,0.0,45.0,156.0,32.0,8.0,2827.0,16.0,Aston Villa,0,0.0,0,0,0.0,0.0,88,32,0,0.03,0.0,0.0,32,1,0,0,2827,0.0,0,0,2011
15,30.0,12.0,90.0,0.738,au,Mark Schwarzer,GK,38,33.3,11.0,1.23,0.0,37.0,141.0,30.0,10.0,2700.0,7.0,Fulham,0,0.0,0,0,0.0,0.0,90,30,0,0.03,0.0,0.0,30,1,0,0,2700,0.0,0,0,2011
16,29.0,4.0,90.0,0.784,es,David de Gea,GK,20,44.8,20.0,1.0,0.0,29.0,134.0,29.0,13.0,2610.0,5.0,Manchester United,0,0.0,0,0,0.0,0.0,90,29,0,0.0,0.0,0.0,29,0,0,0,2610,0.0,0,0,2011
