,pens_made,goals_assists_per90,position,fouls,goals,player,goals_assists_pens_per90,squad,goals_per90,minutes_per_game,games_starts,games_subs,cards_per90,shots_on_target_per90,goals_pens_per90,games,cards_yellow,cards_red,nationality,assists,minutes,fouls_per90,age,shots_on_target,pens_att
0,0,0.05,"DF,MF",16,2,Steve Cook,0.05,Bournemouth,0.05,90,38,0,0.13,0.24,0.05,38,5,0,eng ENG,0,"3,420",0.42,25,9,0
1,0,0.13,DF,28,1,César Azpilicueta,0.13,Chelsea,0.03,90,38,0,0.11,0.16,0.03,38,4,0,es ESP,4,"3,420",0.74,26,6,0
2,0,0.05,DF,19,1,Ben Gibson,0.05,Middlesbrough,0.03,90,38,0,0.11,0.16,0.03,38,4,0,eng ENG,1,"3,420",0.50,23,6,0
3,0,0.00,GK,0,0,Fraser Forster,0.00,Southampton,0.00,90,38,0,0.08,0.00,0.00,38,3,0,eng ENG,0,"3,420",0.00,28,0,0
4,0,0.00,GK,0,0,Ben Foster,0.00,West Bromwich Albion,0.00,90,38,0,0.05,0.00,0.00,38,2,0,eng ENG,0,"3,420",0.00,33,0,0
5,0,0.03,"MF,DF",36,0,Joel Ward,0.03,Crystal Palace,0.00,90,38,0,0.18,0.08,0.00,38,7,0,eng ENG,1,"3,417",0.95,26,3,0
6,0,0.00,GK,0,0,Heurelho Gomes,0.00,Watford,0.00,88,38,0,0.03,0.00,0.00,38,1,0,br BRA,0,"3,337",0.00,35,0,0
7,0,0.00,GK,0,0,Łukasz Fabiański,0.00,Swansea City,0.00,90,37,0,0.03,0.00,0.00,37,1,0,pl POL,0,"3,330",0.00,31,0,0
8,3,0.60,MF,19,9,Gylfi Sigurðsson,0.51,Swansea City,0.24,88,37,1,0.05,1.35,0.16,38,2,0,is ISL,13,"3,327",0.51,26,50,3
9,0,0.05,DF,15,0,Nathaniel Clyne,0.05,Liverpool,0.00,90,37,0,0.00,0.11,0.00,37,0,0,eng ENG,2,"3,323",0.41,25,4,0
10,5,0.46,FW,25,15,Jermain Defoe,0.33,Sunderland,0.41,90,37,0,0.03,0.84,0.27,37,1,0,eng ENG,2,"3,321",0.68,33,31,5
11,0,0.16,DF,34,6,Gary Cahill,0.16,Chelsea,0.16,89,36,1,0.14,0.30,0.16,37,5,0,eng ENG,0,"3,296",0.93,30,11,0
12,0,0.11,DF,55,4,Craig Dawson,0.11,West Bromwich Albion,0.11,89,37,0,0.27,0.22,0.11,37,10,0,eng ENG,0,"3,276",1.51,26,8,0
13,1,0.85,FW,32,25,Romelu Lukaku,0.83,Everton,0.69,88,36,1,0.08,1.52,0.66,37,3,0,be BEL,6,"3,266",0.88,23,55,1
14,0,0.00,GK,0,0,Thibaut Courtois,0.00,Chelsea,0.00,90,36,0,0.03,0.00,0.00,36,1,0,be BEL,0,"3,240",0.00,24,0,0
15,0,0.06,DF,34,0,Matthew Lowton,0.06,Burnley,0.00,90,36,0,0.25,0.06,0.00,36,9,0,eng ENG,2,"3,240",0.94,27,2,0
16,0,0.14,MF,22,2,Darren Fletcher,0.14,West Bromwich Albion,0.06,85,37,1,0.00,0.19,0.06,38,0,0,sco SCO,3,"3,231",0.61,32,7,0
17,0,0.06,"DF,FW,MF",34,1,Stephen Ward,0.06,Burnley,0.03,87,37,0,0.14,0.03,0.03,37,5,0,ie IRL,1,"3,230",0.95,30,1,0
