,games_starts_gk,losses,minutes_per_game_gk,save_perc,nationality,player,position,age,clean_sheets_perc,wins,goals_against_per90,games_subs_gk,goals_against,shots_on_target_against,games_gk,clean_sheets,minutes_gk,draws,squad,pens_made,goals_assists_per90,fouls,goals,goals_assists_pens_per90,goals_per90,minutes_per_game_pl,games_starts_pl,games_subs_pl,cards_per90,shots_on_target_per90,goals_pens_per90,games_pl,cards_yellow,cards_red,assists,minutes_pl,fouls_per90,shots_on_target,pens_att,season
0,38.0,15.0,90.0,0.735,eng,Robert Green,GK,27.0,21.1,13.0,1.32,0.0,50.0,189.0,38.0,8.0,3420.0,10.0,West Ham United,0.0,0.0,0.0,0.0,0.0,0.0,90.0,38.0,0.0,0.05,0.0,0.0,38.0,2.0,0.0,0.0,3420.0,0.0,0.0,0.0,2007
1,38.0,10.0,90.0,0.7609999999999999,us,Brad Friedel,GK,36.0,21.1,15.0,1.26,0.0,48.0,201.0,38.0,8.0,3420.0,13.0,Blackburn Rovers,0.0,0.0,0.0,0.0,0.0,0.0,90.0,38.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,3420.0,0.0,0.0,0.0,2007
2,38.0,22.0,90.0,0.74,us,Marcus Hahnemann,GK,35.0,21.1,10.0,1.74,0.0,66.0,254.0,38.0,8.0,3420.0,6.0,Reading,0.0,0.0,0.0,0.0,0.0,0.0,90.0,38.0,0.0,0.08,0.0,0.0,38.0,3.0,0.0,0.0,3420.0,0.0,0.0,0.0,2007
3,38.0,4.0,90.0,0.797,es,Pepe Reina,GK,24.0,47.4,21.0,0.74,0.0,28.0,138.0,38.0,18.0,3420.0,13.0,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,90.0,38.0,0.0,0.05,0.0,0.0,38.0,2.0,0.0,0.0,3420.0,0.0,0.0,0.0,2007
4,37.0,17.0,90.0,0.746,eng,Chris Kirkland,GK,26.0,32.4,10.0,1.32,0.0,49.0,193.0,37.0,12.0,3330.0,10.0,Wigan Athletic,0.0,0.0,0.0,0.0,0.0,0.0,90.0,37.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,3330.0,0.0,0.0,0.0,2007
5,36.0,9.0,90.0,0.8220000000000001,us,Tim Howard,GK,28.0,38.9,19.0,0.83,0.0,30.0,169.0,36.0,14.0,3240.0,8.0,Everton,0.0,0.0,0.0,0.0,0.0,0.0,90.0,36.0,0.0,0.03,0.0,0.0,36.0,1.0,0.0,0.0,3240.0,0.0,0.0,0.0,2007
6,35.0,10.0,90.0,0.813,eng,David James,GK,36.0,45.7,16.0,1.03,0.0,36.0,192.0,35.0,16.0,3150.0,9.0,Portsmouth,0.0,0.0,0.0,0.0,0.0,0.0,90.0,35.0,0.0,0.06,0.0,0.0,35.0,2.0,0.0,0.0,3150.0,0.0,0.0,0.0,2007
7,35.0,8.0,89.0,0.705,eng,Scott Carson,GK,21.0,25.7,16.0,1.32,0.0,46.0,156.0,35.0,9.0,3126.0,10.0,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,89.0,35.0,0.0,0.06,0.0,0.0,35.0,1.0,1.0,0.0,3126.0,0.0,0.0,0.0,2007
8,34.0,16.0,90.0,0.778,nir,Maik Taylor,GK,35.0,8.8,8.0,1.59,0.0,54.0,243.0,34.0,3.0,3060.0,10.0,Birmingham City,0.0,0.0,0.0,0.0,0.0,0.0,90.0,34.0,0.0,0.03,0.0,0.0,34.0,1.0,0.0,0.0,3060.0,0.0,0.0,0.0,2007
9,34.0,19.0,90.0,0.6629999999999999,sco,Craig Gordon,GK,24.0,17.6,10.0,1.62,0.0,55.0,163.0,34.0,6.0,3060.0,5.0,Sunderland,0.0,0.0,0.0,0.0,0.0,0.0,90.0,34.0,0.0,0.03,0.0,0.0,34.0,1.0,0.0,0.0,3060.0,0.0,0.0,0.0,2007
