,games_starts_gk,losses,minutes_per_game_gk,save_perc,nationality,player,position,age,clean_sheets_perc,wins,goals_against_per90,games_subs_gk,goals_against,shots_on_target_against,games_gk,clean_sheets,minutes_gk,draws,squad,pens_made,goals_assists_per90,fouls,goals,goals_assists_pens_per90,goals_per90,minutes_per_game_pl,games_starts_pl,games_subs_pl,cards_per90,shots_on_target_per90,goals_pens_per90,games_pl,cards_yellow,cards_red,assists,minutes_pl,fouls_per90,shots_on_target,pens_att,season
380,,,,,it,Christian Panucci,DF,27.0,,,,,,,,,,,Chelsea,0,0.0,9,0,0.0,0.0,82,7,1,0.55,0.27,0.0,8,4,0,0,657,1.23,2,0,2000
381,,,,,be,Branko Strupar,FW,30.0,,,,,,,,,,,Derby County,1,0.83,13,6,0.69,0.83,73,7,2,0.14,1.65,0.69,9,1,0,0,653,1.79,12,1,2000
382,,,,,nan,Paul Boertien,DF,21.0,,,,,,,,,,,Derby County,0,0.28,9,1,0.28,0.14,81,7,1,0.42,0.28,0.14,8,3,0,1,650,1.25,2,0,2000
383,,,,,eng,Phil Gilchrist,DF,26.0,,,,,,,,,,,Leicester City,0,0.0,8,0,0.0,0.0,53,6,6,0.14,0.43,0.0,12,1,0,0,631,1.14,3,0,2000
384,,,,,it,Roberto Di Matteo,MF,30.0,,,,,,,,,,,Chelsea,0,0.14,13,0,0.14,0.0,90,7,0,0.0,0.86,0.0,7,0,0,1,630,1.86,6,0,2000
385,,,,,eng,Stefan Oakes,MF,21.0,,,,,,,,,,,Leicester City,0,0.29,2,0,0.29,0.0,49,5,8,0.0,1.14,0.0,13,0,0,2,630,0.29,8,0,2000
386,,,,,eng,Carl Tiler,DF,30.0,,,,,,,,,,,Charlton Athletic,0,0.0,12,0,0.0,0.0,89,7,0,0.14,0.14,0.0,7,0,1,0,623,1.73,1,0,2000
387,,,,,eng,Nick Chadwick,FW,17.0,,,,,,,,,,,Manchester United,0,0.29,2,2,0.29,0.29,39,6,10,0.14,0.72,0.29,16,0,1,0,623,0.29,5,0,2000
388,,,,,jm,David Johnson,FW,23.0,,,,,,,,,,,Ipswich Town,0,0.15,17,0,0.15,0.0,43,6,8,0.0,0.74,0.0,14,0,0,1,608,2.52,5,0,2000
389,,,,,eng,John Moncur,MF,33.0,,,,,,,,,,,West Ham United,0,0.0,23,0,0.0,0.0,38,6,10,0.89,0.44,0.0,16,6,0,0,607,3.41,3,0,2000
390,,,,,eng,Lee Morris,FW,20.0,,,,,,,,,,,Derby County,0,0.0,9,0,0.0,0.0,30,4,16,0.46,0.46,0.0,20,3,0,0,591,1.37,3,0,2000
391,,,,,"hr,yu",Davor Šuker,FW,32.0,,,,,,,,,,,West Ham United,0,0.46,12,2,0.46,0.31,53,7,4,0.77,0.92,0.31,11,5,0,1,587,1.84,6,0,2000
392,,,,,cd,Lomana LuaLua,"FW,MF",19.0,,,,,,,,,,,Newcastle United,0,0.15,9,0,0.15,0.0,28,3,18,0.31,1.55,0.0,21,2,0,1,582,1.39,10,0,2000
393,,,,,ba,Muhamed Konjić,DF,30.0,,,,,,,,,,,Coventry City,0,0.0,7,0,0.0,0.0,72,8,0,0.0,0.16,0.0,8,0,0,0,579,1.09,1,0,2000
394,,,,,"cg,fr",Youl Mawéné,DF,21.0,,,,,,,,,,,Derby County,0,0.0,8,0,0.0,0.0,72,7,1,0.31,0.0,0.0,8,2,0,0,578,1.25,0,0,2000
395,,,,,gn,Kaba Diawara,FW,24.0,,,,,,,,,,,West Ham United,0,0.0,8,0,0.0,0.0,58,6,4,0.0,0.62,0.0,10,0,0,0,577,1.25,4,0,2000
396,,,,,is,Arnar Gunnlaugsson,"FW,MF",27.0,,,,,,,,,,,Leicester City,0,0.79,6,3,0.79,0.47,34,3,14,0.0,1.42,0.47,17,0,0,2,570,0.95,9,0,2000
397,,,,,sco,Stephen Glass,MF,24.0,,,,,,,,,,,Newcastle United,0,0.63,8,3,0.63,0.48,41,5,9,0.32,0.63,0.48,14,2,0,1,568,1.27,4,0,2000
398,,,,,eng,Ronnie Wallwork,"MF,DF",22.0,,,,,,,,,,,Manchester United,0,0.0,1,0,0.0,0.0,47,4,8,0.0,0.0,0.0,12,0,0,0,565,0.16,0,0,2000
399,,,,,hr,Mario Stanić,"FW,MF",28.0,,,,,,,,,,,Chelsea,0,0.48,20,2,0.48,0.32,47,8,4,0.16,0.8,0.32,12,1,0,1,563,3.2,5,0,2000
400,,,,,de,Stefan Schnoor,DF,29.0,,,,,,,,,,,Derby County,0,0.0,8,0,0.0,0.0,70,6,2,0.32,0.16,0.0,8,2,0,0,561,1.28,1,0,2000
401,,,,,fr,Lilian Martin,DF,29.0,,,,,,,,,,,Derby County,0,0.16,7,0,0.16,0.0,61,7,2,0.49,0.16,0.0,9,3,0,1,547,1.15,1,0,2000
402,,,,,jm,Kevin Lisbie,FW,21.0,,,,,,,,,,,Charlton Athletic,0,0.0,11,0,0.0,0.0,30,5,13,0.0,0.83,0.0,18,0,0,0,545,1.82,5,0,2000
