,season,tot_players,num_players
es,2016,464,35.0
fr,2016,464,24.0
be,2016,464,19.0
ie,2016,464,18.0
nl,2016,464,18.0
sco,2016,464,16.0
ar,2016,464,16.0
br,2016,464,13.0
wal,2016,464,11.0
de,2016,464,10.0
sn,2016,464,10.0
ng,2016,464,8.0
it,2016,464,8.0
nir,2016,464,6.0
rs,2016,464,6.0
ch,2016,464,5.0
ci,2016,464,5.0
gh,2016,464,5.0
at,2016,464,5.0
no,2016,464,5.0
dz,2016,464,4.0
uy,2016,464,4.0
dk,2016,464,4.0
se,2016,464,4.0
eg,2016,464,3.0
us,2016,464,3.0
co,2016,464,3.0
ec,2016,464,3.0
pl,2016,464,3.0
kr,2016,464,3.0
ma,2016,464,2.0
cl,2016,464,2.0
is,2016,464,2.0
cm,2016,464,2.0
pt,2016,464,2.0
jm,2016,464,2.0
jp,2016,464,2.0
cd,2016,464,2.0
tn,2016,464,2.0
hr,2016,464,1.0
ee,2016,464,1.0
bj,2016,464,1.0
gq,2016,464,1.0
tr,2016,464,1.0
cr,2016,464,1.0
sc,2016,464,1.0
nz,2016,464,1.0
ke,2016,464,1.0
nan,2016,464,1.0
ga,2016,464,1.0
cw,2016,464,1.0
ml,2016,464,1.0
cz,2016,464,1.0
ba,2016,464,1.0
za,2016,464,1.0
am,2016,464,1.0
ve,2016,464,1.0
au,2016,464,1.0
gm,2016,464,1.0
ca,2016,464,1.0
gr,2016,464,1.0
es,2016,464,2.0
it,2016,464,1.0
pt,2016,464,1.0
eng,2017,466,157.0
es,2017,466,29.0
fr,2017,466,26.0
nl,2017,466,21.0
be,2017,466,17.0
ie,2017,466,15.0
ar,2017,466,14.0
br,2017,466,13.0
de,2017,466,13.0
sco,2017,466,12.0
wal,2017,466,11.0
sn,2017,466,8.0
dk,2017,466,7.0
at,2017,466,7.0
it,2017,466,6.0
ch,2017,466,6.0
pt,2017,466,6.0
gh,2017,466,5.0
nir,2017,466,5.0
gr,2017,466,4.0
ng,2017,466,4.0
cm,2017,466,4.0
ci,2017,466,4.0
rs,2017,466,4.0
eg,2017,466,4.0
us,2017,466,3.0
kr,2017,466,3.0
se,2017,466,3.0
ml,2017,466,3.0
cd,2017,466,3.0
co,2017,466,3.0
ma,2017,466,3.0
pl,2017,466,3.0
is,2017,466,2.0
jm,2017,466,2.0
jp,2017,466,2.0
nz,2017,466,2.0
ga,2017,466,2.0
hr,2017,466,2.0
dz,2017,466,2.0
cl,2017,466,2.0
no,2017,466,2.0
au,2017,466,2.0
ba,2017,466,2.0
il,2017,466,2.0
sc,2017,466,1.0
tr,2017,466,1.0
ec,2017,466,1.0
ua,2017,466,1.0
ve,2017,466,1.0
ke,2017,466,1.0
mx,2017,466,1.0
sk,2017,466,1.0
ca,2017,466,1.0
ee,2017,466,1.0
bj,2017,466,1.0
cz,2017,466,1.0
uy,2017,466,1.0
pe,2017,466,1.0
am,2017,466,1.0
cw,2017,466,1.0
it,2017,466,1.0
es,2017,466,1.0
pt,2017,466,1.0
tr,2017,466,1.0
