,games_starts_gk,losses,minutes_per_game_gk,save_perc,nationality,player,position,age,clean_sheets_perc,wins,goals_against_per90,games_subs_gk,goals_against,shots_on_target_against,games_gk,clean_sheets,minutes_gk,draws,squad,pens_made,goals_assists_per90,fouls,goals,goals_assists_pens_per90,goals_per90,minutes_per_game_pl,games_starts_pl,games_subs_pl,cards_per90,shots_on_target_per90,goals_pens_per90,games_pl,cards_yellow,cards_red,assists,minutes_pl,fouls_per90,shots_on_target,pens_att,season
0,38.0,19.0,90.0,0.7509999999999999,fi,Jussi Jääskeläinen,GK,33.0,18.4,11.0,1.39,0.0,53.0,213.0,38.0,7.0,3420.0,8.0,Bolton Wanderers,0.0,0.0,0.0,0.0,0.0,0.0,90.0,38.0,0.0,0.08,0.0,0.0,38.0,3.0,0.0,0.0,3420.0,0.0,0.0,0.0,2008
1,38.0,15.0,90.0,0.772,eng,Robert Green,GK,28.0,26.3,14.0,1.18,0.0,45.0,197.0,38.0,10.0,3420.0,9.0,West Ham United,0.0,0.0,0.0,0.0,0.0,0.0,90.0,38.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,3420.0,0.0,0.0,0.0,2008
2,38.0,9.0,90.0,0.8009999999999999,us,Tim Howard,GK,29.0,44.7,17.0,0.97,0.0,37.0,186.0,38.0,17.0,3420.0,12.0,Everton,0.0,0.0,0.0,0.0,0.0,0.0,90.0,38.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,3420.0,0.0,0.0,0.0,2008
3,38.0,13.0,90.0,0.826,au,Mark Schwarzer,GK,35.0,39.5,14.0,0.89,0.0,34.0,195.0,38.0,15.0,3420.0,11.0,Fulham,0.0,0.0,0.0,0.0,0.0,0.0,90.0,38.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,3420.0,0.0,0.0,0.0,2008
4,38.0,2.0,90.0,0.779,es,Pepe Reina,GK,25.0,52.6,25.0,0.71,0.0,27.0,122.0,38.0,20.0,3420.0,11.0,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,90.0,38.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,3420.0,0.0,0.0,0.0,2008
5,38.0,10.0,89.0,0.741,us,Brad Friedel,GK,37.0,34.2,17.0,1.27,0.0,48.0,185.0,38.0,13.0,3394.0,11.0,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,89.0,38.0,0.0,0.05,0.0,0.0,38.0,1.0,1.0,0.0,3394.0,0.0,0.0,0.0,2008
6,36.0,16.0,90.0,0.725,eng,David James,GK,37.0,22.2,10.0,1.53,0.0,55.0,200.0,36.0,8.0,3240.0,10.0,Portsmouth,0.0,0.0,0.0,0.0,0.0,0.0,90.0,36.0,0.0,0.06,0.0,0.0,36.0,2.0,0.0,0.0,3240.0,0.0,0.0,0.0,2008
7,35.0,17.0,88.0,0.7090000000000001,dk,Thomas Sørensen,GK,32.0,34.3,9.0,1.31,1.0,46.0,158.0,36.0,12.0,3150.0,8.0,Stoke City,0.0,0.0,0.0,0.0,0.0,0.0,88.0,35.0,1.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,3150.0,0.0,0.0,0.0,2008
8,35.0,21.0,90.0,0.6970000000000001,eng,Scott Carson,GK,22.0,20.0,7.0,1.83,0.0,64.0,211.0,35.0,7.0,3150.0,7.0,West Bromwich Albion,0.0,0.0,0.0,0.0,0.0,0.0,90.0,35.0,0.0,0.09,0.0,0.0,35.0,3.0,0.0,0.0,3150.0,0.0,0.0,0.0,2008
9,35.0,5.0,90.0,0.826,cz,Petr Čech,GK,26.0,54.3,23.0,0.69,0.0,24.0,138.0,35.0,19.0,3150.0,7.0,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,90.0,35.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,3150.0,0.0,0.0,0.0,2008
10,35.0,16.0,89.0,0.6559999999999999,eng,Paul Robinson,GK,28.0,25.7,8.0,1.62,0.0,56.0,163.0,35.0,9.0,3105.0,10.0,Blackburn Rovers,0.0,0.0,0.0,0.0,0.0,0.0,89.0,35.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,3105.0,0.0,0.0,0.0,2008
11,34.0,14.0,90.0,0.7909999999999999,br,Heurelho Gomes,GK,27.0,35.3,12.0,1.18,0.0,40.0,191.0,34.0,12.0,3060.0,8.0,Tottenham Hotspur,0.0,0.0,0.0,0.0,0.0,0.0,90.0,34.0,0.0,0.03,0.0,0.0,34.0,1.0,0.0,0.0,3060.0,0.0,0.0,0.0,2008
12,33.0,4.0,88.0,0.809,nl,Edwin van der Sar,GK,37.0,63.6,23.0,0.65,0.0,21.0,110.0,33.0,21.0,2911.0,5.0,Manchester United,0.0,0.0,0.0,0.0,0.0,0.0,88.0,33.0,0.0,0.03,0.0,0.0,33.0,1.0,0.0,0.0,2911.0,0.0,0.0,0.0,2008
13,32.0,6.0,90.0,0.78,es,Manuel Almunia,GK,31.0,43.8,16.0,0.82,0.0,26.0,118.0,32.0,14.0,2867.0,10.0,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,90.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,2867.0,0.0,0.0,0.0,2008
14,32.0,13.0,87.0,0.654,eng,Chris Kirkland,GK,27.0,34.4,10.0,1.19,0.0,37.0,107.0,32.0,11.0,2799.0,8.0,Wigan Athletic,0.0,0.0,0.0,0.0,0.0,0.0,88.0,32.0,0.0,0.03,0.0,0.0,32.0,1.0,0.0,0.0,2799.0,0.0,0.0,0.0,2008
15,28.0,15.0,90.0,0.6579999999999999,wal,Boaz Myhill,GK,25.0,10.7,7.0,1.82,0.0,51.0,149.0,28.0,3.0,2520.0,6.0,Hull City,0.0,0.0,0.0,0.0,0.0,0.0,90.0,28.0,0.0,0.04,0.0,0.0,28.0,1.0,0.0,0.0,2520.0,0.0,0.0,0.0,2008
16,26.0,14.0,90.0,0.637,hu,Márton Fülöp,GK,25.0,23.1,6.0,1.42,0.0,37.0,102.0,26.0,6.0,2340.0,6.0,Sunderland,0.0,0.0,0.0,0.0,0.0,0.0,90.0,26.0,0.0,0.04,0.0,0.0,26.0,1.0,0.0,0.0,2340.0,0.0,0.0,0.0,2008
17,23.0,11.0,87.0,0.693,eng,Joe Hart,GK,21.0,26.1,8.0,1.4,0.0,31.0,101.0,23.0,6.0,1998.0,3.0,Manchester City,0.0,0.0,0.0,0.0,0.0,0.0,87.0,23.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1998.0,0.0,0.0,0.0,2008
18,22.0,12.0,90.0,0.752,eng,Ross Turnbull,GK,23.0,13.6,4.0,1.55,0.0,34.0,137.0,22.0,3.0,1980.0,6.0,Middlesbrough,0.0,0.0,0.0,0.0,0.0,0.0,90.0,22.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,1980.0,0.0,0.0,0.0,2008
19,16.0,10.0,90.0,0.7559999999999999,eng,Steve Harper,GK,33.0,12.5,2.0,1.37,0.0,22.0,90.0,16.0,2.0,1440.0,4.0,Newcastle United,0.0,0.0,0.0,0.0,0.0,0.0,90.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1440.0,0.0,0.0,0.0,2008
20,16.0,8.0,90.0,0.7090000000000001,au,Brad Jones,GK,26.0,25.0,3.0,1.44,0.0,23.0,79.0,16.0,4.0,1440.0,5.0,Middlesbrough,0.0,0.0,0.0,0.0,0.0,0.0,90.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1440.0,0.0,0.0,0.0,2008
21,15.0,7.0,90.0,0.795,ie,Shay Given,GK,32.0,26.7,7.0,1.2,0.0,18.0,88.0,15.0,4.0,1350.0,1.0,Manchester City,,,,,,,,,,,,,,,,,,,,,2008
22,12.0,6.0,90.0,0.742,sco,Craig Gordon,GK,25.0,25.0,3.0,1.42,0.0,17.0,66.0,12.0,3.0,1080.0,3.0,Sunderland,0.0,0.0,0.0,0.0,0.0,0.0,90.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1080.0,0.0,0.0,0.0,2008
23,10.0,4.0,90.0,0.794,eng,Matt Duke,GK,31.0,30.0,1.0,1.3,0.0,13.0,63.0,10.0,3.0,900.0,5.0,Hull City,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,2008
24,5.0,0.0,77.0,0.655,pl,Łukasz Fabiański,GK,23.0,0.0,3.0,1.94,1.0,10.0,29.0,6.0,0.0,463.0,2.0,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,77.0,5.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,463.0,0.0,0.0,0.0,2008
25,4.0,1.0,90.0,0.583,it,Carlo Cudicini,GK,34.0,25.0,2.0,1.25,0.0,5.0,12.0,4.0,1.0,360.0,1.0,Tottenham Hotspur,0.0,0.0,0.0,0.0,0.0,0.0,90.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,2008
26,3.0,3.0,88.0,0.625,gh,Richard Kingson,GK,30.0,33.3,1.0,1.54,1.0,6.0,16.0,4.0,1.0,351.0,0.0,Wigan Athletic,0.0,0.0,0.0,0.0,0.0,0.0,88.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,351.0,0.0,0.0,0.0,2008
27,3.0,0.0,82.0,0.905,pl,Tomasz Kuszczak,GK,26.0,66.7,3.0,0.55,1.0,2.0,21.0,4.0,2.0,329.0,1.0,Manchester United,0.0,0.0,0.0,0.0,0.0,0.0,82.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,329.0,0.0,0.0,0.0,2008
28,3.0,1.0,79.0,0.7140000000000001,wal,Jason Brown,GK,26.0,33.3,2.0,1.14,1.0,4.0,14.0,4.0,1.0,315.0,1.0,Blackburn Rovers,0.0,0.0,0.0,0.0,0.0,0.0,79.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,315.0,0.0,0.0,0.0,2008
29,3.0,1.0,90.0,0.813,ie,Dean Kiely,GK,37.0,33.3,1.0,1.0,0.0,3.0,16.0,3.0,1.0,270.0,1.0,West Bromwich Albion,0.0,0.0,0.0,0.0,0.0,0.0,90.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,2008
30,3.0,1.0,90.0,0.818,eng,Mike Pollitt,GK,36.0,33.3,1.0,0.67,0.0,2.0,11.0,3.0,1.0,270.0,1.0,Wigan Athletic,0.0,0.0,0.0,0.0,0.0,0.0,90.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,2008
31,3.0,0.0,54.0,0.727,eng,Steve Simonsen,GK,29.0,0.0,3.0,3.0,2.0,9.0,33.0,5.0,0.0,270.0,1.0,Stoke City,0.0,0.0,0.0,0.0,0.0,0.0,54.0,3.0,2.0,0.33,0.0,0.0,5.0,1.0,0.0,0.0,270.0,0.0,0.0,0.0,2008
32,2.0,1.0,90.0,0.833,ba,Asmir Begović,GK,21.0,0.0,0.0,1.0,0.0,2.0,12.0,2.0,0.0,180.0,1.0,Portsmouth,0.0,0.0,0.0,0.0,0.0,0.0,90.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,2008
33,2.0,0.0,90.0,0.857,eng,Ben Foster,GK,25.0,50.0,2.0,0.5,0.0,1.0,7.0,2.0,1.0,180.0,0.0,Manchester United,0.0,0.0,0.0,0.0,0.0,0.0,90.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,2008
34,1.0,0.0,90.0,1.0,pt,Henrique Hilário,GK,32.0,100.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,90.0,1.0,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,90.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,2008
35,1.0,0.0,90.0,0.5,it,Vito Mannone,GK,20.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,90.0,0.0,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,90.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,2008
36,0.0,0.0,72.0,0.667,dk,Kasper Schmeichel,GK,21.0,,0.0,1.25,1.0,1.0,3.0,1.0,0.0,72.0,1.0,Manchester City,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,2008
37,0.0,0.0,26.0,1.0,us,Brad Guzan,GK,23.0,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,26.0,0.0,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,2008
38,,,,,fr,Sylvain Distin,DF,30.0,,,,,,,,,,,Portsmouth,0.0,0.0,25.0,0.0,0.0,0.0,90.0,38.0,0.0,0.05,0.03,0.0,38.0,2.0,0.0,0.0,3420.0,0.66,1.0,0.0,2008
39,,,,,nan,Michael Turner,DF,24.0,,,,,,,,,,,Hull City,0.0,0.13,47.0,4.0,0.13,0.11,90.0,38.0,0.0,0.08,0.32,0.11,38.0,3.0,0.0,1.0,3420.0,1.24,12.0,0.0,2008
40,,,,,eng,Jamie Carragher,"DF,MF",30.0,,,,,,,,,,,Liverpool,0.0,0.03,25.0,0.0,0.03,0.0,90.0,38.0,0.0,0.11,0.08,0.0,38.0,4.0,0.0,1.0,3400.0,0.66,3.0,0.0,2008
41,,,,,nir,Aaron Hughes,DF,28.0,,,,,,,,,,,Fulham,0.0,0.0,7.0,0.0,0.0,0.0,89.0,38.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,3395.0,0.19,0.0,0.0,2008
42,,,,,eng,Gareth Barry,MF,27.0,,,,,,,,,,,Aston Villa,4.0,0.27,64.0,5.0,0.16,0.13,89.0,38.0,0.0,0.21,0.59,0.03,38.0,8.0,0.0,5.0,3383.0,1.7,22.0,4.0,2008
43,,,,,eng,Kevin Davies,FW,31.0,,,,,,,,,,,Bolton Wanderers,0.0,0.37,112.0,11.0,0.37,0.29,88.0,37.0,1.0,0.11,0.83,0.29,38.0,4.0,0.0,3.0,3361.0,3.0,31.0,0.0,2008
44,,,,,eng,Peter Crouch,FW,27.0,,,,,,,,,,,Portsmouth,0.0,0.38,46.0,10.0,0.38,0.27,88.0,38.0,0.0,0.08,1.07,0.27,38.0,3.0,0.0,4.0,3358.0,1.23,40.0,0.0,2008
45,,,,,eng,Danny Murphy,MF,31.0,,,,,,,,,,,Fulham,5.0,0.24,49.0,5.0,0.11,0.13,88.0,38.0,0.0,0.22,0.27,0.0,38.0,8.0,0.0,4.0,3341.0,1.32,10.0,5.0,2008
