,pens_made,goals_assists_per90,position,fouls,goals,player,goals_assists_pens_per90,squad,goals_per90,minutes_per_game,games_starts,games_subs,cards_per90,shots_on_target_per90,goals_pens_per90,games,cards_yellow,cards_red,nationality,assists,minutes,fouls_per90,age,shots_on_target,pens_att
242,0,0.07,DF,20,1,Matthew Bates,0.07,Middlesbrough,0.07,81,15,2,0.33,0.13,0.07,17,4,1,eng ENG,0,"1,384",1.30,21,2,0
243,0,0.13,"MF,DF,FW",17,0,Julien Faubert,0.13,West Ham United,0.00,69,15,5,0.13,0.39,0.00,20,2,0,mq MTQ,2,"1,374",1.11,24,6,0
244,0,0.20,DF,13,1,Daniel Agger,0.20,Liverpool,0.07,76,15,3,0.13,0.46,0.07,18,2,0,dk DEN,2,"1,370",0.85,23,7,0
245,1,0.66,FW,33,7,James Beattie,0.59,Stoke City,0.46,85,16,0,0.07,0.92,0.40,16,1,0,eng ENG,3,"1,367",2.17,30,14,1
246,0,0.00,MF,30,0,Richard Hughes,0.00,Portsmouth,0.00,68,17,3,0.20,0.27,0.00,20,3,0,sco SCO,0,"1,357",1.99,29,4,0
247,0,0.07,MF,30,0,Tom Huddlestone,0.07,Tottenham Hotspur,0.00,61,14,8,0.20,0.80,0.00,22,3,0,eng ENG,1,"1,345",2.01,21,12,0
248,0,0.07,MF,19,0,Nigel de Jong,0.07,Manchester City,0.00,84,16,0,0.20,0.13,0.00,16,3,0,nl NED,1,"1,344",1.27,23,2,0
249,0,0.27,FW,35,3,Mamady Sidibé,0.27,Stoke City,0.20,61,17,5,0.07,0.74,0.20,22,1,0,ml MLI,1,"1,338",2.35,28,11,0
250,0,0.00,"DF,MF",46,0,Papa Bouba Diop,0.00,Portsmouth,0.00,83,15,1,0.34,0.34,0.00,16,5,0,sn SEN,0,"1,328",3.12,30,5,0
251,0,0.07,DF,16,0,Tony Hibbert,0.07,Everton,0.00,77,16,1,0.27,0.00,0.00,17,4,0,eng ENG,1,"1,315",1.10,27,0,0
252,0,0.00,"DF,MF",14,0,Kevin Kilbane,0.00,Hull City,0.00,82,15,1,0.07,0.34,0.00,16,1,0,ie IRL,0,"1,314",0.96,31,5,0
253,0,0.21,MF,35,1,Lucas Leiva,0.21,Liverpool,0.07,52,13,12,0.14,0.63,0.07,25,2,0,br BRA,2,"1,294",2.43,21,9,0
254,0,0.14,MF,17,0,Didier Digard,0.14,Middlesbrough,0.00,56,15,8,0.28,0.14,0.00,23,3,1,fr FRA,2,"1,294",1.18,22,2,0
255,0,0.28,MF,27,2,Paul Scholes,0.28,Manchester United,0.14,60,14,7,0.28,0.92,0.14,21,3,1,eng ENG,2,"1,269",1.91,33,13,0
256,0,0.28,"MF,FW",8,2,Theo Walcott,0.28,Arsenal,0.14,58,16,6,0.00,1.42,0.14,22,0,0,eng ENG,2,"1,265",0.57,19,20,0
257,1,0.43,FW,53,4,Shola Ameobi,0.36,Newcastle United,0.29,57,14,8,0.07,0.79,0.21,22,1,0,ng NGA,2,"1,259",3.79,26,11,1
258,0,0.07,DF,22,0,Ryan Donk,0.07,West Bromwich Albion,0.00,78,14,2,0.29,0.22,0.00,16,4,0,nl NED,1,"1,255",1.58,22,3,0
259,0,0.58,FW,17,5,Robbie Keane,0.58,Liverpool,0.36,66,16,3,0.14,1.01,0.36,19,2,0,ie IRL,3,"1,252",1.22,28,14,0
260,0,0.37,FW,21,5,Craig Bellamy,0.37,West Ham United,0.37,77,13,3,0.37,1.46,0.37,16,5,0,wal WAL,0,"1,231",1.54,29,20,0
261,0,0.15,MF,19,2,Seyi Olofinjana,0.15,Stoke City,0.15,68,14,4,0.22,0.51,0.15,18,3,0,ng NGA,0,"1,230",1.39,28,7,0
262,0,0.15,"MF,FW",41,0,Luís Boa Morte,0.15,West Ham United,0.00,46,13,14,0.51,0.51,0.00,27,7,0,pt POR,2,"1,229",3.00,30,7,0
263,0,0.07,MF,31,0,Vince Grella,0.07,Blackburn Rovers,0.00,72,15,2,0.37,0.29,0.00,17,5,0,au AUS,1,"1,224",2.28,28,4,0
264,0,0.00,DF,16,0,Johan Djourou,0.00,Arsenal,0.00,80,13,2,0.07,0.07,0.00,15,1,0,ch SUI,0,"1,204",1.20,21,1,0
265,1,0.53,FW,38,6,Roman Bednář,0.45,West Bromwich Albion,0.45,46,12,14,0.45,1.28,0.38,26,6,0,cz CZE,1,"1,197",2.86,25,17,2
266,0,0.08,"MF,FW",15,1,El Hadji Diouf,0.08,Blackburn Rovers,0.08,85,13,1,0.23,0.53,0.08,14,3,0,sn SEN,0,"1,196",1.13,27,7,1
267,0,0.08,"MF,DF",5,1,Armand Traoré,0.08,Portsmouth,0.08,66,13,5,0.00,0.38,0.08,18,0,0,sn SEN,0,"1,181",0.38,18,5,0
268,0,0.00,DF,6,0,Pascal Chimbonda,0.00,Sunderland,0.00,90,13,0,0.15,0.00,0.00,13,2,0,"fr FRA,gp GPE",0,"1,170",0.46,29,0,0
269,0,0.15,"MF,FW",13,1,Richard Garcia,0.15,Hull City,0.08,51,13,10,0.15,0.46,0.08,23,2,0,au AUS,1,"1,162",1.01,26,6,0
270,0,0.00,"DF,MF",23,0,Julio Arca,0.00,Middlesbrough,0.00,64,14,4,0.39,0.16,0.00,18,5,0,ar ARG,0,"1,160",1.78,27,2,0
271,1,0.55,FW,12,6,Louis Saha,0.47,Everton,0.47,48,10,14,0.08,1.66,0.39,24,1,0,fr FRA,1,"1,140",0.95,29,21,1
