,pens_made,goals_assists_per90,position,fouls,goals,player,goals_assists_pens_per90,squad,goals_per90,minutes_per_game,games_starts,games_subs,cards_per90,shots_on_target_per90,goals_pens_per90,games,cards_yellow,cards_red,nationality,assists,minutes,fouls_per90,age,shots_on_target,pens_att
0,0,0.00,GK,0,0,Jussi Jääskeläinen,0.00,Bolton Wanderers,0.00,90,38,0,0.08,0.00,0.00,38,3,0,fi FIN,0,"3,420",0.00,34,0,0
1,0,0.08,DF,46,0,Tyrone Mears,0.08,Burnley,0.00,90,38,0,0.18,0.13,0.00,38,7,0,jm JAM,3,"3,420",1.21,26,5,0
2,0,0.00,GK,0,0,Brad Friedel,0.00,Aston Villa,0.00,90,38,0,0.00,0.00,0.00,38,0,0,us USA,0,"3,420",0.00,38,0,0
3,0,0.00,GK,0,0,Tim Howard,0.00,Everton,0.00,90,38,0,0.05,0.00,0.00,38,2,0,us USA,0,"3,420",0.00,30,0,0
4,0,0.00,GK,0,0,Pepe Reina,0.00,Liverpool,0.00,90,38,0,0.05,0.00,0.00,38,2,0,es ESP,0,"3,420",0.00,26,0,0
5,0,0.03,DF,27,0,Roger Johnson,0.03,Birmingham City,0.00,90,38,0,0.21,0.08,0.00,38,8,0,eng ENG,1,"3,420",0.71,26,3,0
6,0,0.00,GK,0,0,Robert Green,0.00,West Ham United,0.00,90,38,0,0.00,0.00,0.00,38,0,0,eng ENG,0,"3,402",0.00,29,0,0
7,5,0.67,FW,35,24,Darren Bent,0.53,Sunderland,0.64,89,38,0,0.13,1.41,0.51,38,5,0,eng ENG,1,"3,383",0.93,25,53,8
8,0,0.00,GK,0,0,Brian Jensen,0.00,Burnley,0.00,88,38,0,0.08,0.00,0.00,38,3,0,dk DEN,0,"3,344",0.00,34,0,0
9,1,0.24,DF,18,1,Leighton Baines,0.22,Everton,0.03,90,37,0,0.05,0.30,0.00,37,2,0,eng ENG,8,"3,330",0.49,24,11,1
10,0,0.00,GK,0,0,Mark Schwarzer,0.00,Fulham,0.00,90,37,0,0.00,0.00,0.00,37,0,0,au AUS,0,"3,330",0.00,36,0,0
11,0,0.00,DF,40,0,Barry Ferguson,0.00,Birmingham City,0.00,90,37,0,0.24,0.05,0.00,37,8,1,ie IRL,0,"3,329",1.08,29,2,0
12,1,0.35,FW,121,7,Kevin Davies,0.33,Bolton Wanderers,0.19,90,37,0,0.24,0.65,0.16,37,9,0,eng ENG,6,"3,315",3.29,32,24,1
13,1,0.38,FW,51,10,Hugo Rodallega,0.35,Wigan Athletic,0.27,87,38,0,0.16,1.50,0.24,38,6,0,co COL,4,"3,310",1.39,24,55,2
14,1,0.35,"FW,MF,DF",50,5,Ashley Young,0.33,Aston Villa,0.14,89,37,0,0.16,0.44,0.11,37,6,0,eng ENG,8,"3,300",1.36,24,16,2
15,0,0.05,DF,41,0,Patrice Evra,0.05,Manchester United,0.00,86,37,1,0.14,0.22,0.00,38,5,0,fr FRA,2,"3,283",1.12,28,8,0
16,0,0.03,MF,43,0,Stiliyan Petrov,0.03,Aston Villa,0.00,88,37,0,0.28,0.22,0.00,37,10,0,bg BUL,1,"3,267",1.18,30,8,0
17,0,0.11,DF,33,2,John Terry,0.11,Chelsea,0.06,88,37,0,0.22,0.14,0.06,37,7,1,eng ENG,2,"3,259",0.91,28,5,0
18,0,0.00,"DF,MF",28,0,Jamie Carragher,0.00,Liverpool,0.00,88,37,0,0.22,0.03,0.00,37,7,1,eng ENG,0,"3,251",0.78,31,1,0
19,0,0.08,DF,33,2,Carlos Cuéllar,0.08,Aston Villa,0.06,90,36,0,0.22,0.17,0.06,36,7,1,es ESP,1,"3,240",0.92,27,6,0
20,0,0.00,GK,0,0,Joe Hart,0.00,Birmingham City,0.00,90,36,0,0.08,0.00,0.00,36,3,0,eng ENG,0,"3,240",0.00,22,0,0
21,10,1.01,MF,27,22,Frank Lampard,0.73,Chelsea,0.62,89,36,0,0.00,1.48,0.34,36,0,0,eng ENG,14,"3,218",0.76,31,53,11
22,3,0.54,MF,56,7,James Milner,0.45,Aston Villa,0.20,88,36,0,0.14,0.60,0.11,36,5,0,eng ENG,12,"3,172",1.59,23,21,4
23,0,0.03,DF,21,1,Zat Knight,0.03,Bolton Wanderers,0.03,90,35,0,0.03,0.09,0.03,35,1,0,eng ENG,0,"3,150",0.60,29,3,0
24,0,0.00,GK,0,0,Shay Given,0.00,Manchester City,0.00,90,35,0,0.06,0.00,0.00,35,2,0,ie IRL,0,"3,132",0.00,33,0,0
25,0,0.23,MF,67,4,Wade Elliott,0.23,Burnley,0.12,82,34,4,0.14,0.29,0.12,38,5,0,eng ENG,4,"3,121",1.93,30,10,0
26,0,0.06,DF,26,2,Titus Bramble,0.06,Wigan Athletic,0.06,89,35,0,0.29,0.14,0.06,35,10,0,eng ENG,0,"3,110",0.75,28,5,0
27,0,0.03,DF,41,0,Stephen Carr,0.03,Birmingham City,0.00,89,35,0,0.29,0.03,0.00,35,10,0,ie IRL,1,"3,109",1.19,32,1,0
28,0,0.06,DF,35,1,Maynor Figueroa,0.06,Wigan Athletic,0.03,88,35,0,0.17,0.12,0.03,35,6,0,hn HON,1,"3,087",1.02,26,4,0
29,0,0.00,GK,0,0,Paul Robinson,0.00,Blackburn Rovers,0.00,88,35,0,0.03,0.00,0.00,35,1,0,eng ENG,0,"3,084",0.00,29,0,0
30,0,0.44,"FW,MF",53,13,Gabby Agbonlahor,0.44,Aston Villa,0.38,85,35,1,0.09,1.20,0.38,36,3,0,eng ENG,2,"3,075",1.55,22,41,0
31,0,0.03,DF,29,1,Andy Dawson,0.03,Hull City,0.03,88,35,0,0.21,0.06,0.03,35,7,0,eng ENG,0,"3,065",0.85,30,2,0
32,0,0.00,DF,5,0,Aaron Hughes,0.00,Fulham,0.00,90,34,0,0.06,0.03,0.00,34,2,0,nir NIR,0,"3,060",0.15,29,1,0
33,0,0.00,"DF,MF",58,0,Karl Henry,0.00,Wolverhampton Wanderers,0.00,89,34,0,0.21,0.12,0.00,34,6,1,eng ENG,0,"3,036",1.72,26,4,0
34,0,0.33,"FW,MF,DF",52,5,Charles N'Zogbia,0.33,Wigan Athletic,0.15,84,35,1,0.21,0.77,0.15,36,7,0,fr FRA,6,"3,030",1.54,23,26,0
35,0,0.00,GK,0,0,Petr Čech,0.00,Chelsea,0.00,89,34,0,0.03,0.00,0.00,34,0,1,cz CZE,0,"3,021",0.00,27,0,0
36,0,0.21,MF,50,5,Lee Bowyer,0.21,Birmingham City,0.15,86,34,1,0.24,0.51,0.15,35,8,0,eng ENG,2,"3,009",1.50,32,17,0
37,1,0.36,"FW,MF,DF",42,9,Dirk Kuyt,0.33,Liverpool,0.27,81,35,2,0.09,0.96,0.24,37,3,0,nl NED,3,"3,003",1.26,29,32,1
38,0,0.24,MF,65,2,Gareth Barry,0.24,Manchester City,0.06,88,34,0,0.12,0.21,0.06,34,4,0,eng ENG,6,"2,994",1.95,28,7,0
39,0,0.21,"DF,MF",38,5,Jody Craddock,0.21,Wolverhampton Wanderers,0.15,90,33,0,0.03,0.39,0.15,33,1,0,eng ENG,2,"2,970",1.15,34,13,0
40,0,0.03,MF,66,1,Fabrice Muamba,0.03,Bolton Wanderers,0.03,82,35,1,0.34,0.21,0.03,36,11,0,eng ENG,0,"2,936",2.02,21,7,0
41,0,0.09,DF,30,3,Matthew Upson,0.09,West Ham United,0.09,88,33,0,0.09,0.15,0.09,33,3,0,eng ENG,0,"2,904",0.93,30,5,0
42,0,0.00,"DF,MF",49,0,Dean Whitehead,0.00,Stoke City,0.00,81,33,3,0.28,0.16,0.00,36,8,1,eng ENG,0,"2,897",1.52,27,5,0
43,1,0.41,MF,12,5,Matthew Etherington,0.37,Stoke City,0.16,85,33,1,0.03,0.25,0.12,34,1,0,eng ENG,8,"2,888",0.37,27,8,1
44,1,0.34,FW,47,9,Kevin Doyle,0.31,Wolverhampton Wanderers,0.28,85,33,1,0.12,0.84,0.25,34,4,0,ie IRL,2,"2,887",1.47,25,27,1
45,0,0.06,MF,32,0,Rory Delap,0.06,Stoke City,0.00,80,34,2,0.09,0.13,0.00,36,3,0,ie IRL,2,"2,879",1.00,33,4,0
46,0,0.00,GK,0,0,Thomas Sørensen,0.00,Stoke City,0.00,87,33,0,0.00,0.00,0.00,33,0,0,dk DEN,0,"2,864",0.00,33,0,0
47,0,0.38,"MF,FW",80,8,Tim Cahill,0.38,Everton,0.25,87,33,0,0.25,1.10,0.25,33,8,0,au AUS,4,"2,863",2.51,29,35,0
48,0,0.06,MF,59,2,Steven Nzonzi,0.06,Blackburn Rovers,0.06,87,33,0,0.19,0.25,0.06,33,6,0,fr FRA,0,"2,862",1.86,20,8,0
49,5,0.91,FW,39,23,Carlos Tevez,0.75,Manchester City,0.72,82,32,3,0.19,1.82,0.57,35,6,0,ar ARG,6,"2,861",1.23,25,58,5
50,0,0.03,MF,63,1,Mohamed Diamé,0.03,Wigan Athletic,0.03,84,34,0,0.16,0.25,0.03,34,5,0,sn SEN,0,"2,852",1.99,22,8,0
51,0,0.03,DF,27,0,Mario Melchiot,0.03,Wigan Athletic,0.00,89,32,0,0.06,0.03,0.00,32,2,0,nl NED,1,"2,850",0.85,32,1,0
52,0,0.38,FW,51,8,Steven Fletcher,0.38,Burnley,0.25,81,35,0,0.03,0.73,0.25,35,1,0,sco SCO,4,"2,848",1.61,22,23,0
53,0,0.13,MF,56,2,Tom Huddlestone,0.13,Tottenham Hotspur,0.06,86,33,0,0.25,0.47,0.06,33,8,0,eng ENG,2,"2,844",1.77,22,15,0
54,2,0.51,MF,29,9,Steven Gerrard,0.44,Liverpool,0.29,86,32,1,0.19,0.95,0.22,33,6,0,eng ENG,7,"2,842",0.92,29,30,2
55,0,0.06,MF,59,0,Lucas Leiva,0.06,Liverpool,0.00,81,32,3,0.29,0.19,0.00,35,9,0,br BRA,2,"2,841",1.87,22,6,0
56,0,0.06,DF,45,0,Christophe Berra,0.06,Wolverhampton Wanderers,0.00,89,32,0,0.16,0.10,0.00,32,5,0,sco SCO,2,"2,835",1.43,24,3,0
57,0,0.10,"MF,DF,FW",32,1,Julien Faubert,0.10,West Ham United,0.03,86,32,1,0.19,0.03,0.03,33,6,0,mq MTQ,2,"2,820",1.02,25,1,0
58,0,0.03,DF,28,1,Brede Hangeland,0.03,Fulham,0.03,88,32,0,0.06,0.10,0.03,32,2,0,no NOR,0,"2,805",0.90,28,3,0
59,0,0.26,DF,28,7,Thomas Vermaelen,0.26,Arsenal,0.23,85,33,0,0.13,0.45,0.23,33,3,1,be BEL,1,"2,797",0.90,23,14,0
60,0,0.13,DF,17,2,Gaël Givet,0.13,Blackburn Rovers,0.06,82,33,1,0.10,0.19,0.06,34,3,0,fr FRA,2,"2,795",0.55,27,6,0
61,1,1.27,FW,62,29,Didier Drogba,1.23,Chelsea,0.94,87,31,1,0.23,2.18,0.91,32,7,0,ci CIV,10,"2,770",2.01,31,67,1
62,0,0.00,GK,0,0,Chris Kirkland,0.00,Wigan Athletic,0.00,87,32,0,0.00,0.00,0.00,32,0,0,eng ENG,0,"2,768",0.00,28,0,0
63,0,0.10,DF,25,0,Bacary Sagna,0.10,Arsenal,0.00,79,31,4,0.10,0.07,0.00,35,3,0,fr FRA,3,"2,760",0.82,26,2,0
64,0,0.00,"MF,DF",67,0,Javier Mascherano,0.00,Liverpool,0.00,81,31,3,0.39,0.23,0.00,34,10,2,ar ARG,0,"2,758",2.19,25,7,0
65,0,0.10,DF,26,3,Liam Ridgewell,0.10,Birmingham City,0.10,89,30,1,0.13,0.16,0.10,31,4,0,eng ENG,0,"2,745",0.85,25,5,0
66,0,0.10,DF,31,3,Robert Huth,0.10,Stoke City,0.10,86,30,2,0.20,0.20,0.10,32,6,0,de GER,0,"2,744",1.02,24,6,0
67,6,0.26,"DF,MF",27,7,Graham Alexander,0.07,Burnley,0.23,83,33,0,0.10,0.36,0.03,33,3,0,sco SCO,1,"2,735",0.89,37,11,6
68,4,0.96,"MF,FW",24,26,Wayne Rooney,0.82,Manchester United,0.86,85,32,0,0.20,2.01,0.73,32,6,0,eng ENG,3,"2,728",0.79,23,61,5
